,RegionName,ProcessName,Timeslice,electricity,hfo,gas,geo,heat,CO2f,wind,cook,biomass,water,uranium,solar,coal,diesel,hydrogen,e_demand
0,Central,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83333334
1,Central,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83333334
2,Central,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83333334
3,Central,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83333334
4,Central,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83333334
5,Central,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83333334
0,Central,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41666667
1,Central,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41666667
2,Central,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41666667
3,Central,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41666667
4,Central,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41666667
5,Central,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41666667
0,Eastern,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.33333334
1,Eastern,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.33333334
2,Eastern,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.33333334
3,Eastern,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.33333334
4,Eastern,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.33333334
5,Eastern,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.33333334
0,Eastern,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.66666667
1,Eastern,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.66666667
2,Eastern,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.66666667
3,Eastern,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.66666667
4,Eastern,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.66666667
5,Eastern,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.66666667
0,Western,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33333333
1,Western,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33333333
2,Western,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33333333
3,Western,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33333333
4,Western,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33333333
5,Western,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33333333
0,Western,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.66666667
1,Western,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.66666667
2,Western,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.66666667
3,Western,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.66666667
