AgentShare,Name,RegionName,Objective1,Objective2,Objective3,ObjData1,ObjData2,ObjData3,Objsort1,Objsort2,Objsort3,SearchRule,DecisionMethod,Quantity,MaturityThreshold,Budget,Type
agent_share,A1,Central,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A2,Central,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A1,Eastern,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A2,Eastern,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A1,Western,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A2,Western,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A1,Northwest,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A2,Northwest,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A1,North,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A2,North,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A1,Northeast,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A2,Northeast,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A1,BajaCalif,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A2,BajaCalif,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A1,BajaCalifSouth,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A2,BajaCalifSouth,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A1,Peninsular,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
agent_share,A2,Peninsular,ALCOE,,,1,,,TRUE,,,from_assets->compress->reduce_assets,singleObj,0.5,-1,inf,default
