ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2,Agent1
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit,New
livestock_meat,Northwest,2020,fixed,10.1,1,2.02,1,0,1,4.35E+11,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,livestock,1,0
livestock_milk,Northwest,2020,fixed,10.1,1,2.02,1,0,1,5.32E+10,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,milk,1,0
livestock_other,Northwest,2020,fixed,10.1,1,2.02,1,0,1,8.45E+10,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,other_agri,1,0
agrTraditionalCropping_fruits,North,2020,fixed,5.05,1,1.01,1,0,1,7.62E+11,100000,3400000,20,1,0.01,60,0.1,food,diesel,fruits,1,0
agrModernCropping_fruits,North,2020,fixed,15.15,1,3.03,1,0,1,4.70E+13,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,fruits,1,0
agrTraditionalCropping_vegt,North,2020,fixed,5.05,1,1.01,1,0,1,4.19E+12,100000,3400000,20,1,0.01,60,0.1,food,diesel,vegt,1,0
agrModernCropping_vegt,North,2020,fixed,15.15,1,3.03,1,0,1,2.58E+14,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,vegt,1,0
agrTraditionalCropping_seeds,North,2020,fixed,5.05,1,1.01,1,0,1,9.22E+10,100000,3400000,20,1,0.01,60,0.1,food,diesel,seeds,1,0
agrModernCropping_seeds,North,2020,fixed,15.15,1,3.03,1,0,1,5.69E+12,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,seeds,1,0
agrTraditionalCropping_plants,North,2020,fixed,5.05,1,1.01,1,0,1,1.52E+12,100000,3400000,20,1,0.01,60,0.1,food,diesel,plants,1,0
agrModernCropping_plants,North,2020,fixed,15.15,1,3.03,1,0,1,9.35E+13,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,plants,1,0
livestock_meat,North,2020,fixed,10.1,1,2.02,1,0,1,4.14E+11,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,livestock,1,0
livestock_milk,North,2020,fixed,10.1,1,2.02,1,0,1,6.35E+11,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,milk,1,0
livestock_other,North,2020,fixed,10.1,1,2.02,1,0,1,2.86E+10,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,other_agri,1,0
agrTraditionalCropping_fruits,Northeast,2020,fixed,5.05,1,1.01,1,0,1,2.24E+11,100000,3400000,20,1,0.01,60,0.1,food,diesel,fruits,1,0
agrModernCropping_fruits,Northeast,2020,fixed,15.15,1,3.03,1,0,1,1.38E+13,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,fruits,1,0
agrTraditionalCropping_vegt,Northeast,2020,fixed,5.05,1,1.01,1,0,1,1.07E+11,100000,3400000,20,1,0.01,60,0.1,food,diesel,vegt,1,0
agrModernCropping_vegt,Northeast,2020,fixed,15.15,1,3.03,1,0,1,6.60E+12,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,vegt,1,0
agrTraditionalCropping_seeds,Northeast,2020,fixed,5.05,1,1.01,1,0,1,6.07E+10,100000,3400000,20,1,0.01,60,0.1,food,diesel,seeds,1,0
agrModernCropping_seeds,Northeast,2020,fixed,15.15,1,3.03,1,0,1,3.74E+12,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,seeds,1,0
agrTraditionalCropping_plants,Northeast,2020,fixed,5.05,1,1.01,1,0,1,1.16E+10,100000,3400000,20,1,0.01,60,0.1,food,diesel,plants,1,0
agrModernCropping_plants,Northeast,2020,fixed,15.15,1,3.03,1,0,1,1.48E+10,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,plants,1,0
livestock_meat,Northeast,2020,fixed,10.1,1,2.02,1,0,1,1.39E+11,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,livestock,1,0
