,RegionName,ProcessName,Timeslice,electricity,hfo,gas,geo,heat,CO2f,wind,cook,biomass,water,uranium,solar,coal,diesel,e_demand
0,Central,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7978144
1,Central,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8652096
2,Central,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.663024
3,Central,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9326048
4,Central,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9663024
5,Central,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9663024
0,Central,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8989072
1,Central,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9326048
2,Central,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.831512
3,Central,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9663024
4,Central,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4831512
5,Central,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4831512
0,Eastern,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.678456
1,Eastern,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.452304
2,Eastern,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.13076
3,Eastern,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.226152
4,Eastern,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.113076
5,Eastern,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.113076
0,Eastern,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.339228
1,Eastern,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.226152
2,Eastern,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.56538
3,Eastern,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.113076
4,Eastern,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.556538
5,Eastern,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.556538
0,Western,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7931824
1,Western,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.5863648
2,Western,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.965912
3,Western,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7931824
4,Western,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3965912
5,Western,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3965912
0,Western,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3965912
1,Western,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7931824
2,Western,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.982956
3,Western,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3965912
4,Western,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1982956
5,Western,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1982956
0,Northwest,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.1868304
1,Northwest,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1245536
2,Northwest,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.311384
3,Northwest,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0622768
4,Northwest,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5311384
5,Northwest,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5311384
0,Northwest,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5934152
1,Northwest,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0622768
2,Northwest,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.655692
3,Northwest,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5311384
4,Northwest,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7655692
5,Northwest,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7655692
0,North,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5575888
1,North,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7050592
2,North,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.262648
3,North,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8525296
4,North,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9262648
5,North,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9262648
0,North,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7787944
1,North,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8525296
2,North,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.631324
3,North,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9262648
4,North,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4631324
5,North,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4631324
0,Northeast,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0003936
1,Northeast,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0007872
2,Northeast,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.001968
3,Northeast,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0003936
4,Northeast,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0001968
5,Northeast,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0001968
0,Northeast,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0001968
1,Northeast,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0003936
2,Northeast,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.000984
3,Northeast,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0001968
4,Northeast,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0000984
5,Northeast,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0000984
0,BajaCalif,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5659264
1,BajaCalif,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7106176
2,BajaCalif,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.276544
3,BajaCalif,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8553088
4,BajaCalif,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4276544
5,BajaCalif,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4276544
0,BajaCalif,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2829632
1,BajaCalif,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8553088
2,BajaCalif,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.138272
3,BajaCalif,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4276544
4,BajaCalif,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2138272
5,BajaCalif,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2138272
0,BajaCalifSouth,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8212368
1,BajaCalifSouth,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5474912
2,BajaCalifSouth,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.368728
3,BajaCalifSouth,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2737456
4,BajaCalifSouth,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1368728
5,BajaCalifSouth,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1368728
0,BajaCalifSouth,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4106184
1,BajaCalifSouth,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2737456
2,BajaCalifSouth,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.684364
3,BajaCalifSouth,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1368728
4,BajaCalifSouth,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5684364
5,BajaCalifSouth,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5684364
0,Peninsular,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6503248
1,Peninsular,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3006496
2,Peninsular,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.251624
