,RegionName,ProcessName,Timeslice,electricity,hfo,gas,geo,heat,CO2f,wind,cook,biomass,water,uranium,solar,coal,diesel,e_demand
4,North,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9754216
5,North,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9754216
0,Northeast,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0002624
1,Northeast,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0005248
2,Northeast,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.001312
3,Northeast,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0002624
4,Northeast,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0001312
5,Northeast,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0001312
0,Northeast,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0001312
1,Northeast,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0002624
2,Northeast,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.000656
3,Northeast,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0001312
4,Northeast,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0000656
5,Northeast,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0000656
0,BajaCalif,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7106176
1,BajaCalif,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8070784
2,BajaCalif,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.517696
3,BajaCalif,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9035392
4,BajaCalif,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9517696
