dst_region,year,asset,region,technology,installed,capacity
Eastern,2035,35,Eastern,NUCL,2020,103.05960000000
Eastern,2035,36,Eastern,OC_GAS,2020,20.17990000000
Eastern,2035,37,Eastern,OC_OIL,2020,0.94990000000
Eastern,2035,38,Eastern,ON_WIND,2020,167.41960000000
Eastern,2035,40,Eastern,PV_GND,2020,27.80210000000
Eastern,2035,42,Eastern,PV_SSG,2020,9.75950000000
Eastern,2040,28,Eastern,BIO,2020,11.33910000000
Eastern,2040,29,Eastern,CC_GAS,2020,57.91080000000
Eastern,2040,34,Eastern,HYD_LS,2020,18.15210000000
Eastern,2040,35,Eastern,NUCL,2020,103.05960000000
Eastern,2040,36,Eastern,OC_GAS,2020,14.90830000000
Eastern,2040,37,Eastern,OC_OIL,2020,0.41380000000
Eastern,2040,38,Eastern,ON_WIND,2020,54.19270000000
Eastern,2040,40,Eastern,PV_GND,2020,27.80210000000
Eastern,2040,42,Eastern,PV_SSG,2020,9.75950000000
Eastern,2044,28,Eastern,BIO,2020,2.26780000000
Eastern,2044,29,Eastern,CC_GAS,2020,51.95680000000
Eastern,2044,34,Eastern,HYD_LS,2020,17.59560000000
Eastern,2044,35,Eastern,NUCL,2020,103.05960000000
Eastern,2044,36,Eastern,OC_GAS,2020,2.98170000000
Eastern,2044,37,Eastern,OC_OIL,2020,0.08280000000
Eastern,2044,38,Eastern,ON_WIND,2020,22.22930000000
Eastern,2044,40,Eastern,PV_GND,2020,27.80210000000
Eastern,2044,42,Eastern,PV_SSG,2020,4.75860000000
Eastern,2045,29,Eastern,CC_GAS,2020,50.46830000000
Eastern,2045,34,Eastern,HYD_LS,2020,17.45640000000
Eastern,2045,35,Eastern,NUCL,2020,103.05960000000
Eastern,2045,38,Eastern,ON_WIND,2020,14.23850000000
Eastern,2045,40,Eastern,PV_GND,2020,27.80210000000
Eastern,2045,42,Eastern,PV_SSG,2020,3.50840000000
Eastern,2049,29,Eastern,CC_GAS,2020,10.09370000000
Eastern,2049,34,Eastern,HYD_LS,2020,17.39290000000
Eastern,2049,35,Eastern,NUCL,2020,103.05960000000
Eastern,2049,38,Eastern,ON_WIND,2020,2.84770000000
Eastern,2049,40,Eastern,PV_GND,2020,5.56040000000
Eastern,2049,42,Eastern,PV_SSG,2020,0.70170000000
Eastern,2050,34,Eastern,HYD_LS,2020,17.37700000000
Eastern,2050,35,Eastern,NUCL,2020,103.05960000000
Eastern,2054,34,Eastern,HYD_LS,2020,8.68850000000
Eastern,2054,35,Eastern,NUCL,2020,51.52980000000
Eastern,2055,34,Eastern,HYD_LS,2020,8.68850000000
Eastern,2055,35,Eastern,NUCL,2020,51.52980000000
Eastern,2059,34,Eastern,HYD_LS,2020,8.68850000000
Eastern,2059,35,Eastern,NUCL,2020,51.52980000000
Eastern,2060,34,Eastern,HYD_LS,2020,8.68850000000
Eastern,2060,35,Eastern,NUCL,2020,51.52980000000
Eastern,2064,34,Eastern,HYD_LS,2020,8.68850000000
Eastern,2064,35,Eastern,NUCL,2020,51.52980000000
Eastern,2065,34,Eastern,HYD_LS,2020,8.68850000000
Eastern,2065,35,Eastern,NUCL,2020,51.52980000000
Eastern,2069,34,Eastern,HYD_LS,2020,8.68850000000
Eastern,2069,35,Eastern,NUCL,2020,51.52980000000
Eastern,2070,34,Eastern,HYD_LS,2020,8.68850000000
Eastern,2070,35,Eastern,NUCL,2020,51.52980000000
Eastern,2084,34,Eastern,HYD_LS,2020,8.68850000000
Eastern,2084,35,Eastern,NUCL,2020,51.52980000000
