dst_region,asset,year,region,technology,installed,capacity
Central,3,2035,BajaCalif,PV_GND,2020,9277.43540000000
Central,3,2040,BajaCalif,PV_GND,2020,9277.43540000000
Central,3,2045,BajaCalif,PV_GND,2020,9277.43540000000
Central,3,2049,BajaCalif,PV_GND,2020,9277.43540000000
Central,4,2035,BajaCalif,PV_GND,2025,10421.21880000000
Central,4,2040,BajaCalif,PV_GND,2025,10421.21880000000
Central,4,2045,BajaCalif,PV_GND,2025,10421.21880000000
Central,4,2049,BajaCalif,PV_GND,2025,10421.21880000000
Central,4,2050,BajaCalif,PV_GND,2025,10421.21880000000
Central,4,2054,BajaCalif,PV_GND,2025,10421.21880000000
Central,5,2040,BajaCalif,PV_GND,2035,23723.51660000000
Central,5,2045,BajaCalif,PV_GND,2035,23723.51660000000
Central,5,2049,BajaCalif,PV_GND,2035,23723.51660000000
Central,5,2050,BajaCalif,PV_GND,2035,23723.51660000000
Central,5,2054,BajaCalif,PV_GND,2035,23723.51660000000
Central,5,2055,BajaCalif,PV_GND,2035,23723.51660000000
Central,5,2059,BajaCalif,PV_GND,2035,23723.51660000000
Central,5,2060,BajaCalif,PV_GND,2035,23723.51660000000
Central,5,2064,BajaCalif,PV_GND,2035,23723.51660000000
Central,10,2035,BajaCalifSouth,PV_GND,2030,11030.98020000000
Central,10,2040,BajaCalifSouth,PV_GND,2030,11030.98020000000
Central,10,2045,BajaCalifSouth,PV_GND,2030,11030.98020000000
Central,10,2049,BajaCalifSouth,PV_GND,2030,11030.98020000000
Central,10,2050,BajaCalifSouth,PV_GND,2030,11030.98020000000
Central,10,2054,BajaCalifSouth,PV_GND,2030,11030.98020000000
Central,10,2055,BajaCalifSouth,PV_GND,2030,11030.98020000000
Central,10,2059,BajaCalifSouth,PV_GND,2030,11030.98020000000
Central,13,2035,Central,BIO,2020,0.02660000000
Central,13,2040,Central,BIO,2020,0.02000000000
Central,13,2045,Central,BIO,2020,0.01500000000
Central,13,2049,Central,BIO,2020,0.01200000000
Central,13,2050,Central,BIO,2020,0.01120000000
Central,13,2054,Central,BIO,2020,0.00560000000
Central,13,2055,Central,BIO,2020,0.00560000000
Central,13,2059,Central,BIO,2020,0.00560000000
Central,13,2060,Central,BIO,2020,0.00560000000
Central,13,2064,Central,BIO,2020,0.00560000000
Central,13,2065,Central,BIO,2020,0.00560000000
Central,14,2035,Central,GAS_CC,2030,26.55410000000
Central,14,2040,Central,GAS_CC,2030,26.55410000000
Central,14,2045,Central,GAS_CC,2030,26.55410000000
Central,14,2049,Central,GAS_CC,2030,26.55410000000
Central,14,2050,Central,GAS_CC,2030,26.55410000000
Central,14,2054,Central,GAS_CC,2030,26.55410000000
Central,14,2055,Central,GAS_CC,2030,26.55410000000
Central,14,2059,Central,GAS_CC,2030,26.55410000000
Central,15,2035,Central,GAS_GT,2020,111.14370000000
Central,15,2040,Central,GAS_GT,2020,83.35780000000
Central,15,2045,Central,GAS_GT,2020,62.51830000000
Central,15,2049,Central,GAS_GT,2020,50.01470000000
Central,15,2050,Central,GAS_GT,2020,46.88880000000
Central,15,2054,Central,GAS_GT,2020,23.44440000000
Central,15,2055,Central,GAS_GT,2020,23.44440000000
