ProcessName,RegionName,Time,Parameter,Unit,Central,Eastern,Western,Northwest,North,Northeast,BajaCalif,BajaCalifSouth,Peninsular
BIO,Central,2020,cap_par,MUSD/PJ,96.7212313,116.0654776,116.0654776,386.8849252,386.8849252,386.8849252,386.8849252,386.8849252,386.8849252
BIO_CCS,Central,2020,cap_par,MUSD/PJ,155.6358597,186.7630316,186.7630316,622.5434388,622.5434388,622.5434388,622.5434388,622.5434388,622.5434388
COAL,Central,2020,cap_par,MUSD/PJ,45.76448902,54.91738682,54.91738682,183.0579561,183.0579561,183.0579561,183.0579561,183.0579561,183.0579561
COAL_CCS,Central,2020,cap_par,MUSD/PJ,91.528978,109.8347736,109.8347736,366.115912,366.115912,366.115912,366.115912,366.115912,366.115912
GAS_GT,Central,2020,cap_par,MUSD/PJ,17.61349516,21.13619419,21.13619419,70.45398064,70.45398064,70.45398064,70.45398064,70.45398064,70.45398064
GAS_CC,Central,2020,cap_par,MUSD/PJ,24.16946163,29.00335396,29.00335396,96.67784652,96.67784652,96.67784652,96.67784652,96.67784652,96.67784652
GAS_CC_CCS,Central,2020,cap_par,MUSD/PJ,39.87961169,47.85553403,47.85553403,159.5184468,159.5184468,159.5184468,159.5184468,159.5184468,159.5184468
OIL,Central,2020,cap_par,MUSD/PJ,44.0337379,52.84048548,52.84048548,176.1349516,176.1349516,176.1349516,176.1349516,176.1349516,176.1349516
GEOTH,Central,2020,cap_par,MUSD/PJ,261.2740281,313.5288337,313.5288337,1045.096112,1045.096112,1045.096112,1045.096112,1045.096112,1045.096112
HYD,Central,2020,cap_par,MUSD/PJ,50.09136676,60.10964011,60.10964011,200.365467,200.365467,200.365467,200.365467,200.365467,200.365467
WIND_ON,Central,2020,cap_par,MUSD/PJ,51.09268512,61.31122214,61.31122214,204.3707405,204.3707405,204.3707405,204.3707405,204.3707405,204.3707405
WIND_OFF,Central,2020,cap_par,MUSD/PJ,132.1765251,158.6118301,158.6118301,528.7061004,528.7061004,528.7061004,528.7061004,528.7061004,528.7061004
PV_GND,Central,2020,cap_par,MUSD/PJ,63.65439379,76.38527255,76.38527255,254.6175752,254.6175752,254.6175752,254.6175752,254.6175752,254.6175752
PV_RFT,Central,2020,cap_par,MUSD/PJ,131.5524138,157.8628966,157.8628966,526.2096552,526.2096552,526.2096552,526.2096552,526.2096552,526.2096552
