ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,AvailabiliyYear,Type,Fuel,EndUse,InterestRate,Agent2,Agent1
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,,Retrofit,New
resAC,BajaCalif,2020,fixed,7.928989227,1,0.396449461,1,0,1,4.594621275,0.015963732,16.96787958,15,1,0.000031536,0.555555556,1,energy,electricity,cool,0.1,1,0
resAppliancesAdv,BajaCalif,2020,fixed,27.03495055,1,6.694181304,1,0,1,4.594621275,0.015963732,135.9390394,11,1,0.000109115,0.841176768,1,energy,electricity,appl,0.1,1,0
resAppliancesCon,BajaCalif,2020,fixed,26.25274583,1,2.300464074,1,0,1,6.563744679,0.022805331,135.9390394,11,1,0.000109115,0.753690083,1,energy,electricity,appl,0.1,1,0
resBoilerBiomass,BajaCalif,2020,fixed,36.39566123,1,3.639566123,1,0,1,40.32197493,0.296534105,2509.204203,20,0.95,0.000756864,0.74,1,energy,biomass,hwater,0.1,1,0
resBoilerBiomass_solarT,BajaCalif,2020,fixed,42.78785391,1,4.278785391,1,0,1,33.60158904,0.039583678,2509.204203,20,0.95,0.000774384,0.74,1,energy,biomass,hwater,0.1,1,0
resBoilerElectric,BajaCalif,2020,fixed,3.364685222,1,0.336468522,1,0,1,40.32197493,0.296534105,2509.204203,15,0.95,0.000756864,0.95,1,energy,electricity,hwater,0.1,1,0
resBoilerElectriciy_solarT,BajaCalif,2020,fixed,10.50418506,1,1.050418506,1,0,1,6.941591595,0.035107081,2509.204203,15,0.95,0.000774384,0.95,1,energy,electricity,hwater,0.1,1,0
resBoilerNG,BajaCalif,2020,fixed,4.379840717,1,0.437984072,1,0,1,40.32197493,0.296534105,2509.204203,15,0.95,0.000756864,0.84,1,energy,gas,hwater,0.1,1,0
resBoilerNG_solarT,BajaCalif,2020,fixed,11.49637323,1,1.149637323,1,0,1,58.30966074,0.042177212,2509.204203,15,0.95,0.000774384,0.84,1,energy,gas,hwater,0.1,1,0
