RegionName,Attribute,Time,electricity,hfo,gas,geo,heat,hydrogen,wind,cook,biomass,water,uranium,solar,coal,diesel,biodiesel,ethanol,steel,cement,chemicals,minerals,pulp_paper,glass,sugar,beer,vehicles,construction,bevergaes,rubber,fertilizers,tobaco,other_ind,cars,buses,psg_rail,psg_air,psg_mar,lorries,cargo_rail,cargo_air,cargo_mar,light,heating,cool,hwater,cook,appl,fruits,vegt,livestock,milk,other_agr,seeds,plants,CO2f
Unit,-,Year,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ
Central,CommodityPrice,2085,22.17592583,29,7.831951236,0,100,150,0,0,5.525705599,0,278.8689105,0,6.939358316,48.63369731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4253503
Central,CommodityPrice,2090,22.03703694,30,7.675019103,0,100,150,0,0,5.912504991,0,306.7558016,0,7.286326232,53.01073006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.606250604
Central,CommodityPrice,2095,21.94444444,31,7.524252461,0,100,150,0,0,6.32638034,0,337.4313818,0,7.650642544,57.78169577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73877515
Central,CommodityPrice,2100,21.39814806,32,7.373485819,0,100,150,0,0,6.769226964,0,371.1745199,0,8.033174671,62.98204839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.871299697
Eastern,CommodityPrice,2020,19.5,16,7.15275,0,100,150,0,0,2.292971373,0,80.77839,0,3.680089875,15.86327358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08314119
Eastern,CommodityPrice,2025,21.93518528,17,8.10645,0,100,150,0,0,2.453479369,0,88.856229,0,3.864094369,17.2909682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120069795
Eastern,CommodityPrice,2030,26.50925917,18,9.06015,0,100,150,0,0,2.625222925,0,97.7418519,0,4.057299087,18.84715534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156998399
Eastern,CommodityPrice,2035,26.51851861,19,9.2191,0,100,150,0,0,2.80898853,0,107.5160371,0,4.260164042,20.54339932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214877567
Eastern,CommodityPrice,2040,23.85185194,20,9.37805,0,100,150,0,0,3.005617727,0,118.2676408,0,4.473172244,22.39230526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272756734
Eastern,CommodityPrice,2045,23.97222222,21,9.193829337,0,100,150,0,0,3.216010968,0,130.0944049,0,4.696830856,24.40761273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35394801
