"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 19/abr/2019"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/abr/2019 12:50:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 4 (Dia de Operacion: 08/03/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Flujo Real de Importacion (MWh)"," Flujo Real de Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"SIN","NES","13","9668.6410689892","324","1","9991.6410689892"
"SIN","NES","14","9513.66335310215","324","1","9836.66335310215"
"SIN","NES","15","9539.0831353563","324","1","9862.0831353563"
"SIN","NES","16","9641.9055884783","324","1","9964.9055884783"
"SIN","NES","17","9771.73199916053","324","2","10093.73199916053"
"SIN","NES","18","9680.90891499275","323","1","10002.90891499275"
"SIN","NES","19","9686.964606233","187","0","9873.964606233"
"SIN","NES","20","9753.527467566876","348","2","10099.527467566876"
"SIN","NES","21","9899.98552632589","397","1","10295.98552632589"
"SIN","NES","22","9867.4217983891","386","1","10252.4217983891"
"SIN","NES","23","9943.67661337","375","2","10316.67661337"
"SIN","NES","24","9493.283576964","347","1","9839.283576964"
"SIN","NOR","1","1975.41913","0","0","1975.41913"
"SIN","NOR","2","1756.47106","0","0","1756.47106"
"SIN","NOR","3","1684.94942","0","0","1684.94942"
"SIN","NOR","4","1693.24065","0","0","1693.24065"
"SIN","NOR","5","1678.53546","0","0","1678.53546"
"SIN","NOR","6","1759.43823","0","0","1759.43823"
"SIN","NOR","7","1892.1278","0","0","1892.1278"
"SIN","NOR","8","1892.38657","0","0","1892.38657"
"SIN","NOR","9","1960.361","0","0","1960.361"
"SIN","NOR","10","2034.77517","0","0","2034.77517"
"SIN","NOR","11","2094.14996","0","0","2094.14996"
"SIN","NOR","12","2120.30448","0","0","2120.30448"
"SIN","NOR","13","2028.62081","0","0","2028.62081"
"SIN","NOR","14","2101.71216","0","0","2101.71216"
"SIN","NOR","15","2171.01503","0","0","2171.01503"
"SIN","NOR","16","2143.99431","0","0","2143.99431"
"SIN","NOR","17","2143.52423","0","0","2143.52423"
"SIN","NOR","18","2133.12091","0","0","2133.12091"
"SIN","NOR","19","2139.60216","0","0","2139.60216"
"SIN","NOR","20","2303.13786","0","0","2303.13786"
"SIN","NOR","21","2275.85253","0","0","2275.85253"
"SIN","NOR","22","2199.85975","0","0","2199.85975"
"SIN","NOR","23","2117.62685","0","0","2117.62685"
"SIN","NOR","24","2000.39808","0","0","2000.39808"
"SIN","NTE","1","2549.98938","0","0","2549.98938"
"SIN","NTE","2","2560.8964","0","0","2560.8964"
"SIN","NTE","3","2558.6301","0","0","2558.6301"
"SIN","NTE","4","2570.28596","0","0","2570.28596"
"SIN","NTE","5","2560.1963","0","0","2560.1963"
"SIN","NTE","6","2579.24412","0","0","2579.24412"
"SIN","NTE","7","2623.09157","0","0","2623.09157"
"SIN","NTE","8","2636.99826","0","0","2636.99826"
"SIN","NTE","9","2747.12258","0","0","2747.12258"
"SIN","NTE","10","2800.18721","0","0","2800.18721"
"SIN","NTE","11","2696.21991","0","0","2696.21991"
"SIN","NTE","12","2704.06763","0","0","2704.06763"
"SIN","NTE","13","2688.04084","0","0","2688.04084"
