"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 17/oct/2019"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 17/oct/2019 12:50:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 4 (Dia de Operacion: 11/09/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Flujo Real de Importacion (MWh)"," Flujo Real de Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"SIN","NES","15","10612.9494","120","1","10731.9494"
"SIN","NES","16","10341.58521","120","1","10460.58521"
"SIN","NES","17","10420.0785","120","1","10539.0785"
"SIN","NES","18","10722.61247","170","1","10891.61247"
"SIN","NES","19","10778.08092","200","1","10977.08092"
"SIN","NES","20","10809.44952","220","1","11028.44952"
"SIN","NES","21","10972.36386","240","1","11211.36386"
"SIN","NES","22","11101.53036","250","1","11350.53036"
"SIN","NES","23","11182.05721","270","1","11451.05721"
"SIN","NES","24","10914.26727","410","3","11321.26727"
"SIN","NOR","1","3852.64388","0","0","3852.64388"
"SIN","NOR","2","3624.20199","0","0","3624.20199"
"SIN","NOR","3","3503.99042","0","0","3503.99042"
"SIN","NOR","4","3530.19521","0","0","3530.19521"
"SIN","NOR","5","3497.87353","0","0","3497.87353"
"SIN","NOR","6","3422.20922","0","0","3422.20922"
"SIN","NOR","7","3413.84714","0","0","3413.84714"
"SIN","NOR","8","3407.55029","0","0","3407.55029"
"SIN","NOR","9","3353.92021","0","0","3353.92021"
"SIN","NOR","10","3376.38747","0","0","3376.38747"
"SIN","NOR","11","3540.22866","0","0","3540.22866"
"SIN","NOR","12","3502.80592","0","0","3502.80592"
"SIN","NOR","13","3597.89303","0","0","3597.89303"
"SIN","NOR","14","3537.99537","0","0","3537.99537"
"SIN","NOR","15","3591.83231","0","0","3591.83231"
"SIN","NOR","16","3604.0615","0","0","3604.0615"
"SIN","NOR","17","3610.77511","0","0","3610.77511"
"SIN","NOR","18","3600.48502","0","0","3600.48502"
"SIN","NOR","19","3612.90913","0","0","3612.90913"
"SIN","NOR","20","3592.0324","0","0","3592.0324"
"SIN","NOR","21","3603.56738","0","0","3603.56738"
"SIN","NOR","22","3602.08608","0","0","3602.08608"
"SIN","NOR","23","3599.22685","0","0","3599.22685"
"SIN","NOR","24","3587.96668","0","0","3587.96668"
"SIN","NTE","1","3249.3938","0","0","3249.3938"
"SIN","NTE","2","3181.82993","0","0","3181.82993"
"SIN","NTE","3","3145.11441","0","0","3145.11441"
"SIN","NTE","4","3131.96721","0","0","3131.96721"
"SIN","NTE","5","3154.30913","0","0","3154.30913"
"SIN","NTE","6","3143.44566","0","0","3143.44566"
"SIN","NTE","7","3161.81693","0","0","3161.81693"
"SIN","NTE","8","3245.89393","0","0","3245.89393"
"SIN","NTE","9","3561.17846","0","0","3561.17846"
"SIN","NTE","10","3841.97402","0","0","3841.97402"
"SIN","NTE","11","3950.39687","0","0","3950.39687"
"SIN","NTE","12","4019.34092","0","0","4019.34092"
"SIN","NTE","13","4017.56762","0","0","4017.56762"
"SIN","NTE","14","3987.88747","0","0","3987.88747"
"SIN","NTE","15","4008.64844","0","0","4008.64844"
"SIN","NTE","16","3997.99696","0","0","3997.99696"
"SIN","NTE","17","3973.46172","0","0","3973.46172"
"SIN","NTE","18","3962.96589","0","0","3962.96589"
"SIN","NTE","19","3906.01158","0","0","3906.01158"
"SIN","NTE","20","3576.65498","0","0","3576.65498"
"SIN","NTE","21","3474.84013","0","0","3474.84013"
"SIN","NTE","22","3466.77472","0","0","3466.77472"
"SIN","NTE","23","3455.49514","0","0","3455.49514"
"SIN","NTE","24","3410.75199","0","0","3410.75199"
"SIN","OCC","1","5297.28465","0","0","5297.28465"
"SIN","OCC","2","5014.23708","0","0","5014.23708"
