"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 16/abr/2019"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 16/abr/2019 12:35:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 2 (Dia de Operacion: 25/12/2018)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Flujo Real de Importacion (MWh)"," Flujo Real de Exportacion (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","991.25298","150.54467","162.11593","979.68172"
"BCA","BCA","2","980.77703","163.14065","192.44512","951.47256"
"BCA","BCA","3","963.25619","145.42584","189.54531","919.13672"
"BCA","BCA","4","961.19226","126.67398","198.61271","889.25353"
"BCA","BCA","5","955.62217","126.12244","211.89037","869.85424"
"BCA","BCA","6","972.36717","129.77032","244.48831","857.64918"
"BCA","BCA","7","973.18509","117.09409","252.41246","837.86672"
"BCA","BCA","8","998.55901","23.09515","195.51517","826.13899"
"BCA","BCA","9","1044.27424","61.81492","255.04446","851.0447"
"BCA","BCA","10","1037.40071","47.83327","184.2269","901.00708"
"BCA","BCA","11","1057.35523","31.00593","147.60546","940.7557"
"BCA","BCA","12","1070.85748","12.57235","121","962.42983"
"BCA","BCA","13","1036.3227","43.34717","142.88504","936.78483"
"BCA","BCA","14","1068.68733","21.69238","135.14409","955.23562"
"BCA","BCA","15","1082.25399","18.21429","156.11421","944.35407"
"BCA","BCA","16","1189.98606","13.41719","254.8862","948.51705"
"BCA","BCA","17","1221.4426","28.94437","269.6331","980.75387"
"BCA","BCA","18","1314.77063","11.64423","241.4185","1084.99636"
"BCA","BCA","19","1345.03954","6.91773","218.184","1133.77327"
"BCA","BCA","20","1357.66745","31.613","252.83616","1136.44429"
"BCA","BCA","21","1293.75751","44.45733","216.82662","1121.38822"
"BCA","BCA","22","1254.22676","33.96775","193.43448","1094.76003"
"BCA","BCA","23","1197.36442","9.10675","167.26299","1039.20818"
"BCA","BCA","24","1145.39544","84.86483","246.94157","983.3187"
"BCS","BCS","1","206.36544","0","0","206.36544"
"BCS","BCS","2","200.75073","0","0","200.75073"
"BCS","BCS","3","194.47273","0","0","194.47273"
