technology,dst_region,region,agent,sector,type,year,capacity
resLightingCon,Peninsular,Peninsular,A2,residential,retrofit,2020,119.00000000000
resLightingEnergySaving,Peninsular,Peninsular,A2,residential,retrofit,2020,343.00000000000
resLightingLED,Peninsular,Peninsular,A2,residential,retrofit,2020,581.00000000000
comAC,Central,Central,A1,commercial,retrofit,2020,4654.00000000000
comAppliancesCon,Central,Central,A1,commercial,retrofit,2020,4236.00000000000
comBoilerElectric,Central,Central,A1,commercial,retrofit,2020,1337.00000000000
comCookingElec,Central,Central,A1,commercial,retrofit,2020,3511.00000000000
comHWaterElec,Central,Central,A1,commercial,retrofit,2020,725.00000000000
comLightingFluorescent,Central,Central,A1,commercial,retrofit,2020,132.00000000000
comLightingLED,Central,Central,A1,commercial,retrofit,2020,3556.00000000000
comLightingOtherCCL,Central,Central,A1,commercial,retrofit,2020,91.00000000000
comAC,Eastern,Eastern,A1,commercial,retrofit,2020,4707.00000000000
comAppliancesCon,Eastern,Eastern,A1,commercial,retrofit,2020,4284.00000000000
comBoilerElectric,Eastern,Eastern,A1,commercial,retrofit,2020,1352.00000000000
comCookingElec,Eastern,Eastern,A1,commercial,retrofit,2020,3550.00000000000
comHWaterElec,Eastern,Eastern,A1,commercial,retrofit,2020,734.00000000000
comLightingFluorescent,Eastern,Eastern,A1,commercial,retrofit,2020,279.00000000000
comLightingLED,Eastern,Eastern,A1,commercial,retrofit,2020,3596.00000000000
comLightingOtherCCL,Eastern,Eastern,A1,commercial,retrofit,2020,9.00000000000
comAC,Western,Western,A1,commercial,retrofit,2020,4388.00000000000
comAppliancesCon,Western,Western,A1,commercial,retrofit,2020,3994.00000000000
comBoilerElectric,Western,Western,A1,commercial,retrofit,2020,1261.00000000000
comCookingElec,Western,Western,A1,commercial,retrofit,2020,3310.00000000000
comHWaterElec,Western,Western,A1,commercial,retrofit,2020,684.00000000000
comLightingFluorescent,Western,Western,A1,commercial,retrofit,2020,132.00000000000
comLightingLED,Western,Western,A1,commercial,retrofit,2020,3352.00000000000
comLightingOtherCCL,Western,Western,A1,commercial,retrofit,2020,91.00000000000
comAC,Northwest,Northwest,A1,commercial,retrofit,2020,889.00000000000
comAppliancesCon,Northwest,Northwest,A1,commercial,retrofit,2020,873.00000000000
comBoilerElectric,Northwest,Northwest,A1,commercial,retrofit,2020,281.00000000000
comCookingElec,Northwest,Northwest,A1,commercial,retrofit,2020,679.00000000000
comHWaterElec,Northwest,Northwest,A1,commercial,retrofit,2020,270.00000000000
comLightingFluorescent,Northwest,Northwest,A1,commercial,retrofit,2020,139.00000000000
comLightingLED,Northwest,Northwest,A1,commercial,retrofit,2020,809.00000000000
comLightingOtherCCL,Northwest,Northwest,A1,commercial,retrofit,2020,53.00000000000
comAC,North,North,A1,commercial,retrofit,2020,873.00000000000
comAppliancesCon,North,North,A1,commercial,retrofit,2020,830.00000000000
comBoilerElectric,North,North,A1,commercial,retrofit,2020,270.00000000000
comCookingElec,North,North,A1,commercial,retrofit,2020,634.00000000000
comHWaterElec,North,North,A1,commercial,retrofit,2020,263.00000000000
comLightingFluorescent,North,North,A1,commercial,retrofit,2020,129.00000000000
comLightingLED,North,North,A1,commercial,retrofit,2020,756.00000000000
comLightingOtherCCL,North,North,A1,commercial,retrofit,2020,49.00000000000
comAC,Northeast,Northeast,A1,commercial,retrofit,2020,1855.00000000000
comAppliancesCon,Northeast,Northeast,A1,commercial,retrofit,2020,1689.00000000000
comBoilerElectric,Northeast,Northeast,A1,commercial,retrofit,2020,587.00000000000
comCookingElec,Northeast,Northeast,A1,commercial,retrofit,2020,1399.00000000000
comHWaterElec,Northeast,Northeast,A1,commercial,retrofit,2020,533.00000000000
comLightingFluorescent,Northeast,Northeast,A1,commercial,retrofit,2020,270.00000000000
comLightingLED,Northeast,Northeast,A1,commercial,retrofit,2020,1417.00000000000
comLightingOtherCCL,Northeast,Northeast,A1,commercial,retrofit,2020,110.00000000000
comAC,BajaCalif,BajaCalif,A1,commercial,retrofit,2020,873.00000000000
comAppliancesCon,BajaCalif,BajaCalif,A1,commercial,retrofit,2020,561.00000000000
comBoilerElectric,BajaCalif,BajaCalif,A1,commercial,retrofit,2020,270.00000000000
comCookingElec,BajaCalif,BajaCalif,A1,commercial,retrofit,2020,429.00000000000
comHWaterElec,BajaCalif,BajaCalif,A1,commercial,retrofit,2020,178.00000000000
comLightingFluorescent,BajaCalif,BajaCalif,A1,commercial,retrofit,2020,87.00000000000
comLightingLED,BajaCalif,BajaCalif,A1,commercial,retrofit,2020,511.00000000000
comLightingOtherCCL,BajaCalif,BajaCalif,A1,commercial,retrofit,2020,33.00000000000
comAC,BajaCalifSouth,BajaCalifSouth,A1,commercial,retrofit,2020,873.00000000000
comAppliancesCon,BajaCalifSouth,BajaCalifSouth,A1,commercial,retrofit,2020,270.00000000000
comBoilerElectric,BajaCalifSouth,BajaCalifSouth,A1,commercial,retrofit,2020,90.00000000000
comCookingElec,BajaCalifSouth,BajaCalifSouth,A1,commercial,retrofit,2020,108.00000000000
comHWaterElec,BajaCalifSouth,BajaCalifSouth,A1,commercial,retrofit,2020,38.00000000000
comLightingFluorescent,BajaCalifSouth,BajaCalifSouth,A1,commercial,retrofit,2020,19.00000000000
comLightingLED,BajaCalifSouth,BajaCalifSouth,A1,commercial,retrofit,2020,119.00000000000
comLightingOtherCCL,BajaCalifSouth,BajaCalifSouth,A1,commercial,retrofit,2020,7.00000000000
comAC,Peninsular,Peninsular,A1,commercial,retrofit,2020,761.00000000000
comAppliancesCon,Peninsular,Peninsular,A1,commercial,retrofit,2020,692.00000000000
comBoilerElectric,Peninsular,Peninsular,A1,commercial,retrofit,2020,241.00000000000
comCookingElec,Peninsular,Peninsular,A1,commercial,retrofit,2020,574.00000000000
comHWaterElec,Peninsular,Peninsular,A1,commercial,retrofit,2020,219.00000000000
comLightingFluorescent,Peninsular,Peninsular,A1,commercial,retrofit,2020,45.00000000000
comLightingLED,Peninsular,Peninsular,A1,commercial,retrofit,2020,581.00000000000
comLightingOtherCCL,Peninsular,Peninsular,A1,commercial,retrofit,2020,9.00000000000
comAC,Central,Central,A2,commercial,retrofit,2020,4654.00000000000
comAppliancesCon,Central,Central,A2,commercial,retrofit,2020,4236.00000000000
comBoilerElectric,Central,Central,A2,commercial,retrofit,2020,1337.00000000000
comCookingElec,Central,Central,A2,commercial,retrofit,2020,3511.00000000000
comHWaterElec,Central,Central,A2,commercial,retrofit,2020,725.00000000000
comLightingFluorescent,Central,Central,A2,commercial,retrofit,2020,132.00000000000
comLightingLED,Central,Central,A2,commercial,retrofit,2020,3556.00000000000
comLightingOtherCCL,Central,Central,A2,commercial,retrofit,2020,91.00000000000
comAC,Eastern,Eastern,A2,commercial,retrofit,2020,4707.00000000000
comAppliancesCon,Eastern,Eastern,A2,commercial,retrofit,2020,4284.00000000000
comBoilerElectric,Eastern,Eastern,A2,commercial,retrofit,2020,1352.00000000000
comCookingElec,Eastern,Eastern,A2,commercial,retrofit,2020,3550.00000000000
comHWaterElec,Eastern,Eastern,A2,commercial,retrofit,2020,734.00000000000
comLightingFluorescent,Eastern,Eastern,A2,commercial,retrofit,2020,279.00000000000
comLightingLED,Eastern,Eastern,A2,commercial,retrofit,2020,3596.00000000000
comLightingOtherCCL,Eastern,Eastern,A2,commercial,retrofit,2020,9.00000000000
comAC,Western,Western,A2,commercial,retrofit,2020,4388.00000000000
comAppliancesCon,Western,Western,A2,commercial,retrofit,2020,3994.00000000000
comBoilerElectric,Western,Western,A2,commercial,retrofit,2020,1261.00000000000
comCookingElec,Western,Western,A2,commercial,retrofit,2020,3310.00000000000
comHWaterElec,Western,Western,A2,commercial,retrofit,2020,684.00000000000
comLightingFluorescent,Western,Western,A2,commercial,retrofit,2020,132.00000000000
comLightingLED,Western,Western,A2,commercial,retrofit,2020,3352.00000000000
comLightingOtherCCL,Western,Western,A2,commercial,retrofit,2020,91.00000000000
comAC,Northwest,Northwest,A2,commercial,retrofit,2020,889.00000000000
comAppliancesCon,Northwest,Northwest,A2,commercial,retrofit,2020,873.00000000000
comBoilerElectric,Northwest,Northwest,A2,commercial,retrofit,2020,281.00000000000
comCookingElec,Northwest,Northwest,A2,commercial,retrofit,2020,679.00000000000
comHWaterElec,Northwest,Northwest,A2,commercial,retrofit,2020,270.00000000000
comLightingFluorescent,Northwest,Northwest,A2,commercial,retrofit,2020,139.00000000000
comLightingLED,Northwest,Northwest,A2,commercial,retrofit,2020,809.00000000000
comLightingOtherCCL,Northwest,Northwest,A2,commercial,retrofit,2020,53.00000000000
comAC,North,North,A2,commercial,retrofit,2020,873.00000000000
comAppliancesCon,North,North,A2,commercial,retrofit,2020,830.00000000000
comBoilerElectric,North,North,A2,commercial,retrofit,2020,270.00000000000
comCookingElec,North,North,A2,commercial,retrofit,2020,634.00000000000
comHWaterElec,North,North,A2,commercial,retrofit,2020,263.00000000000
comLightingFluorescent,North,North,A2,commercial,retrofit,2020,129.00000000000
comLightingLED,North,North,A2,commercial,retrofit,2020,756.00000000000
comLightingOtherCCL,North,North,A2,commercial,retrofit,2020,49.00000000000
comAC,Northeast,Northeast,A2,commercial,retrofit,2020,1855.00000000000
comAppliancesCon,Northeast,Northeast,A2,commercial,retrofit,2020,1689.00000000000
comBoilerElectric,Northeast,Northeast,A2,commercial,retrofit,2020,587.00000000000
comCookingElec,Northeast,Northeast,A2,commercial,retrofit,2020,1399.00000000000
comHWaterElec,Northeast,Northeast,A2,commercial,retrofit,2020,533.00000000000
comLightingFluorescent,Northeast,Northeast,A2,commercial,retrofit,2020,270.00000000000
comLightingLED,Northeast,Northeast,A2,commercial,retrofit,2020,1417.00000000000
comLightingOtherCCL,Northeast,Northeast,A2,commercial,retrofit,2020,110.00000000000
comAC,BajaCalif,BajaCalif,A2,commercial,retrofit,2020,873.00000000000
comAppliancesCon,BajaCalif,BajaCalif,A2,commercial,retrofit,2020,561.00000000000
