RegionName,Attribute,Time,electricity,gas,heat,CO2f,wind,cook,biomass,water,uranium,sun,coal,diesel,e_demand
Unit,-,Year,PJ,PJ,PJ,kt,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ
Eastern,Export,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2025,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2030,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2035,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2040,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2045,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2050,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2055,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2060,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2065,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2070,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2075,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2080,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2085,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2090,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2095,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Export,2100,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2025,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2030,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2035,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2040,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2045,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2050,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2055,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2060,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2065,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2070,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2075,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2080,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2085,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2090,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2095,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Export,2100,0,0,0,0,0,0,0,0,0,0,0,0,0
