ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
resLightingLED,BajaCalifSouth,PJ/y,119,89.25,66.9375,50.203125,0.1,0.1,0.1,0.1
resAppliancesCon,BajaCalifSouth,PJ/y,270,202.5,151.875,113.90625,0.1,0.1,0.1,0.1
resAC,BajaCalifSouth,PJ/y,873,654.75,491.0625,368.296875,0.1,0.1,0.1,0.1
resASHeatPump,Central,PJ/y,0,0,0,0,0,0,0,0
resASHeatPump_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass,Central,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
resBoilerElectriciy_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
resBoilerNG,Central,PJ/y,0,0,0,0,0,0,0,0
resBoilerNG_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
resCHPBiomass,Central,PJ/y,0,0,0,0,0,0,0,0
resCHPNG,Central,PJ/y,0,0,0,0,0,0,0,0
resCookingBiomass,Central,PJ/y,0,0,0,0,0,0,0,0
resCookingCoal,Central,PJ/y,0,0,0,0,0,0,0,0
resCookingKerosene,Central,PJ/y,0,0,0,0,0,0,0,0
resCookingNG,Central,PJ/y,0,0,0,0,0,0,0,0
resDHBiomass,Central,PJ/y,0,0,0,0,0,0,0,0
resDHHeatPump,Central,PJ/y,0,0,0,0,0,0,0,0
resDHNG,Central,PJ/y,0,0,0,0,0,0,0,0
resDHSolarWater,Central,PJ/y,0,0,0,0,0,0,0,0
resDHThermalStorage,Central,PJ/y,0,0,0,0,0,0,0,0
resDHWasteHeatOfftake,Central,PJ/y,0,0,0,0,0,0,0,0
resElectricNightStorage,Central,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA,Central,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA_storage,Central,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump,Central,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
resHWaterBiomass,Central,PJ/y,0,0,0,0,0,0,0,0
resHWaterNG,Central,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPBiomass,Central,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPNG,Central,PJ/y,0,0,0,0,0,0,0,0
resNGSA,Central,PJ/y,0,0,0,0,0,0,0,0
resAppliancesAdv,Central,PJ/y,0,0,0,0,0,0,0,0
resLightingCon,Central,PJ/y,276,207,155.25,116.4375,0.1,0.1,0.1,0.1
resHWaterElec,Central,PJ/y,725,543.75,407.8125,305.859375,0.1,0.1,0.1,0.1
resBoilerElectric,Central,PJ/y,1337,1002.75,752.0625,564.046875,0.1,0.1,0.1,0.1
resLightingEnergySaving,Central,PJ/y,1473,1104.75,828.5625,621.421875,0.1,0.1,0.1,0.1
resCookingElec,Central,PJ/y,3511,2633.25,1974.9375,1481.203125,0.1,0.1,0.1,0.1
resLightingLED,Central,PJ/y,3556,2667,2000.25,1500.1875,0.1,0.1,0.1,0.1
resAppliancesCon,Central,PJ/y,4236,3177,2382.75,1787.0625,0.1,0.1,0.1,0.1
resAC,Central,PJ/y,4654,3490.5,2617.875,1963.40625,0.1,0.1,0.1,0.1
