ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2,Agent1
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit,New
procPulppChem_HFO_CCS,Central,2020,fixed,53009.3376,1,118.35412,1,0,1,300,0.45,2701.68,20,0.9,0.1,1,0.1,energy,fuel_oil,paper,1,0
procPulppChem_LPG,Central,2020,fixed,35817.12,1,79.969,1,0,1,300,0.45,2701.68,20,0.9,0.1,1,0.1,energy,lp_gas,paper,1,0
procPulppChem_LPG_CCS,Central,2020,fixed,53009.3376,1,118.35412,1,0,1,300,0.45,2701.68,20,0.9,0.1,1,0.1,energy,lp_gas,paper,1,0
procPulppChem_NG,Central,2020,fixed,35817.12,1,79.969,1,0,1,300,0.45,2701.68,20,0.9,0.1,1,0.1,energy,gas,paper,1,0
procPulppChem_NG_CCS,Central,2020,fixed,53009.3376,1,118.35412,1,0,1,300,0.45,2701.68,20,0.9,0.1,1,0.1,energy,gas,paper,1,0
procGlass,Central,2020,fixed,10145.263,1,22.76,1,0,1,300,0.98,2701.68,15,0.9,0.1,1,0.1,energy,gas,glass,1,0
procSugar,Central,2020,fixed,7364.007,1,29.456,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,fuel_oil,sugar,1,0
procMining,Central,2020,fixed,7364.007,1,29.456,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,fuel oil,minerals,1,0
procOtherInd,Central,2020,fixed,7364.007,1,29.456,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,electricity,other,1,0
procRubber,Central,2020,fixed,7364.007,1,29.456,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,electricity,rubber,1,0
procChemFertiliz,Central,2020,fixed,10145.263,1,22.76,1,0,1,300,0.98,2701.68,15,0.9,0.1,1,0.1,energy,electricity,fertilizers,1,0
procChemCoal_Hardcoal,Eastern,2020,fixed,1558.826,1,3.897,1,0,1,300,0.98,2701.68,25,0.9,0.1,1,0.1,energy,coal,chemicals,1,0
procChemHFO_HFO,Eastern,2020,fixed,1558.826,1,3.897,1,0,1,300,0.98,2701.68,25,0.9,0.1,1,0.1,energy,fuel oil,chemicals,1,0
procChemHFO_HFO_CCS,Eastern,2020,fixed,2307.06248,1,5.76756,1,0,1,300,0.98,2701.68,25,0.9,0.1,1,0.1,energy,fuel oil,chemicals,1,0
procChemNG_Biogas,Eastern,2020,fixed,10145.263,1,22.76,1,0,1,300,0.98,2701.68,15,0.9,0.1,1,0.1,energy,biogas,chemicals,1,0
procChemNG_Biogas_CCS,Eastern,2020,fixed,15014.98924,1,33.6848,1,0,1,300,0.98,2701.68,15,0.9,0.1,1,0.1,energy,biogas,chemicals,1,0
procChemNG_NG,Eastern,2020,fixed,1558.826,1,3.897,1,0,1,300,0.98,2701.68,25,0.9,0.1,1,0.1,energy,gas,chemicals,1,0
procChemNG_NG_CCS,Eastern,2020,fixed,2307.06248,1,5.76756,1,0,1,300,0.98,2701.68,25,0.9,0.1,1,0.1,energy,gas,chemicals,1,0
procIron_Biogas,Eastern,2020,fixed,4989.517,1,9.979,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,biogas,steel,1,0
procIron_Biogas_CCS,Eastern,2020,fixed,7384.48516,1,14.76892,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,biogas,steel,1,0
procIron_ForRes,Eastern,2020,fixed,4989.517,1,9.979,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,biomass,steel,1,0
procIron_ForRes_CCS,Eastern,2020,fixed,7384.48516,1,14.76892,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,biomass,steel,1,0
procIron_Hardcoal,Eastern,2020,fixed,4989.517,1,9.979,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,coal,steel,1,0
procIron_HFO,Eastern,2020,fixed,4989.517,1,9.979,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,fuel oil,steel,1,0
procIron_HFO_CCS,Eastern,2020,fixed,7384.48516,1,14.76892,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,fuel oil,steel,1,0
