asset,dst_region,year,region,technology,installed,capacity
16,BajaCalifSouth,2040,BajaCalifSouth,PV_GND,2020,1.57680000000
17,BajaCalifSouth,2025,BajaCalifSouth,PV_SSG,2020,1.07200000000
17,BajaCalifSouth,2030,BajaCalifSouth,PV_SSG,2020,1.07200000000
17,BajaCalifSouth,2035,BajaCalifSouth,PV_SSG,2020,1.07200000000
17,BajaCalifSouth,2040,BajaCalifSouth,PV_SSG,2020,1.07200000000
17,BajaCalifSouth,2045,BajaCalifSouth,PV_SSG,2020,0.00030000000
17,BajaCalifSouth,2049,BajaCalifSouth,PV_SSG,2020,0.00010000000
18,Central,2025,Central,BIO,2020,2.35260000000
18,Central,2030,Central,BIO,2020,2.29140000000
18,Central,2035,Central,BIO,2020,2.29140000000
18,Central,2040,Central,BIO,2020,2.12300000000
20,Central,2025,Central,CC_GAS,2020,211.96100000000
20,Central,2030,Central,CC_GAS,2020,77.11810000000
20,Central,2035,Central,CC_GAS,2020,77.11810000000
20,Central,2040,Central,CC_GAS,2020,77.11810000000
20,Central,2045,Central,CC_GAS,2020,77.11810000000
20,Central,2049,Central,CC_GAS,2020,44.01740000000
20,Central,2050,Central,CC_GAS,2020,35.74230000000
20,Central,2054,Central,CC_GAS,2020,33.63980000000
20,Central,2055,Central,CC_GAS,2020,33.11420000000
20,Central,2059,Central,CC_GAS,2020,31.01170000000
20,Central,2060,Central,CC_GAS,2020,30.48610000000
20,Central,2064,Central,CC_GAS,2020,28.38360000000
20,Central,2065,Central,CC_GAS,2020,27.85790000000
20,Central,2069,Central,CC_GAS,2020,25.75550000000
20,Central,2070,Central,CC_GAS,2020,25.22980000000
20,Central,2084,Central,CC_GAS,2020,17.87110000000
20,Central,2085,Central,CC_GAS,2020,17.87110000000
20,Central,2089,Central,CC_GAS,2020,17.87110000000
20,Central,2090,Central,CC_GAS,2020,17.87110000000
23,Central,2025,Central,HYD_LS,2020,23.25020000000
23,Central,2030,Central,HYD_LS,2020,18.85220000000
23,Central,2035,Central,HYD_LS,2020,18.85220000000
23,Central,2040,Central,HYD_LS,2020,18.85220000000
23,Central,2045,Central,HYD_LS,2020,18.85220000000
23,Central,2049,Central,HYD_LS,2020,4.11860000000
23,Central,2050,Central,HYD_LS,2020,0.43520000000
