ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
comCHPBiomass,BajaCalifSouth,PJ/y,0.021999181,0.01451946,0.00725973,0.002199918,0,0,0,0
comMicroCHPNG,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comMicroCHPBiomass,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comHVAC_HFC_HC,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comHVAC_HFO_HC,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comBoilerHydrogen,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comBoilerHydrogen_solarT,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comBoilerLPG,BajaCalifSouth,PJ/y,0.00128914,0.000850832,0.000425416,0.000128914,0,0,0,0
comCHPFuelCellHdg,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comCHPHydrogen,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comCookingHydrogen,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comCookingLPG,BajaCalifSouth,PJ/y,0.003111164,0.002053368,0.001026684,0.000311116,0,0,0,0
comMicroCHPHydrogen,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comLightingFluorescent,Central,PJ/y,7.254884968,4.788224079,2.394112039,0.725488497,0,0,0,0
comLightingOtherCCL,Central,PJ/y,2.763765702,1.824085363,0.912042682,0.27637657,0,0,0,0
comLightingLED,Central,PJ/y,7.254884968,4.788224079,2.394112039,0.725488497,0,0,0,0
comAppliancesCon,Central,PJ/y,7.971137035,5.260950443,2.630475222,0.797113703,0,0,0,0
comCookingElec,Central,PJ/y,2.977824937,1.965364458,0.982682229,0.297782494,0,0,0,0
comCookingNG,Central,PJ/y,2.977824937,1.965364458,0.982682229,0.297782494,0,0,0,0
comCookingBiomass,Central,PJ/y,0,0,0,0,0,0,0,0
comAC,Central,PJ/y,0.155949841,0.102926895,0.051463447,0.015594984,0,0,0,0
comACHFC_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comACHFO_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comBoilerNG,Central,PJ/y,1.137087406,0.750477688,0.375238844,0.113708741,0,0,0,0
comBoilerElectric,Central,PJ/y,1.102023475,0.727335494,0.363667747,0.110202348,0,0,0,0
comBoilerBiomass,Central,PJ/y,0.020186328,0.013322977,0.006661488,0.002018633,0,0,0,0
comBoilerNG_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comBoilerElectric_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comBoilerBiomass_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comBoilerNG_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
comBoilerElectriciy_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
comBoilerBiomass_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
comASHeatPump,Central,PJ/y,0,0,0,0,0,0,0,0
comGSHeatPump,Central,PJ/y,0,0,0,0,0,0,0,0
comASHeatPump_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
comGSHeatPump_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
comElectricNightStorage,Central,PJ/y,0,0,0,0,0,0,0,0
comElectricResSA_storage,Central,PJ/y,0,0,0,0,0,0,0,0
comElectricResSA,Central,PJ/y,0,0,0,0,0,0,0,0
comCHPNG,Central,PJ/y,0.329928698,0.217752941,0.10887647,0.03299287,0,0,0,0
comCHPBiomass,Central,PJ/y,0.110428462,0.072882785,0.036441393,0.011042846,0,0,0,0
comMicroCHPNG,Central,PJ/y,0,0,0,0,0,0,0,0
comMicroCHPBiomass,Central,PJ/y,0,0,0,0,0,0,0,0
comHVAC_HFC_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comHVAC_HFO_HC,Central,PJ/y,0,0,0,0,0,0,0,0
comBoilerHydrogen,Central,PJ/y,0,0,0,0,0,0,0,0
comBoilerHydrogen_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
comBoilerLPG,Central,PJ/y,0.050465821,0.033307442,0.016653721,0.005046582,0,0,0,0
comCHPFuelCellHdg,Central,PJ/y,0,0,0,0,0,0,0,0
comCHPHydrogen,Central,PJ/y,0,0,0,0,0,0,0,0
comCookingHydrogen,Central,PJ/y,0,0,0,0,0,0,0,0
comCookingLPG,Central,PJ/y,0.121792431,0.080383004,0.040191502,0.012179243,0,0,0,0
comMicroCHPHydrogen,Central,PJ/y,0,0,0,0,0,0,0,0
comLightingFluorescent,Eastern,PJ/y,7.336440188,4.842050524,2.421025262,0.733644019,0,0,0,0
