ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,AvailabiliyYear,InterestRate,Type,Fuel,EndUse,Agent2,Agent1
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,-,Retrofit,New
comBoilerNG_solarT,Central,2020,fixed,13.1223926,1,1.31223926,1,0,1,142.904175,10,3524.262184,15,0.95,0.012686155,0.9,1,0.1,energy,gas,hwater_com,1,0
comCHPBiomass,Central,2020,fixed,26.04022927,1,1.170347383,1,0,1,2267.572462,10,3524.262184,25,0.9,0.005680368,0.8,0.35,0.1,energy,biomass,hwater_com,1,0
comCHPNG,Central,2020,fixed,20.64007705,1,0.820475113,1,0,1,14212.03638,10,3524.262184,25,0.9,0.005680368,0.8,0.35,0.1,energy,gas,hwater_com,1,0
comCookingBiomass,Central,2020,fixed,2.010537981,1,0.150790349,1,0,1,1383.292775,10,132039.6163,14,1,4.56E-05,0.45,1,0.1,energy,biomass,cook_com,1,0
comCookingElec,Central,2020,fixed,13.36782275,1,0.668391138,1,0,1,2679.592625,10,253929.3245,15,1,3.77E-05,1,1,0.1,energy,electricity,cook_com,1,0
comCookingNG,Central,2020,fixed,14.26674359,1,0.713337179,1,0,1,10431.90911,10,129681.766,14,1,4.56E-05,0.957767695,1,0.1,energy,gas,cook_com,1,0
comElectricNightStorage,Central,2020,fixed,0.001536299,1,0.001536299,1,0,1,78.013386,10,3524.262184,15,0.95,0.004291834,1,1,0.1,energy,electricity,heating_com,1,0
comASHeatPump,Central,2020,fixed,44.57057099,1,2.228528549,1,0,1,312.053538,10,3524.262184,20,0.95,0.00473364,2.24422747,1,0.1,energy,electricity,hwater_com,1,0
comASHeatPump_solarT,Central,2020,fixed,56.51456818,1,2.825728409,1,0,1,78.013386,10,3524.262184,20,0.95,0.006059059,2.24422747,1,0.1,energy,electricity,hwater_com,1,0
comGSHeatPump,Central,2020,fixed,94.58729942,1,4.729364971,1,0,1,312.053538,10,3524.262184,20,0.7,0.00473364,2.48722785,1,0.1,energy,electricity,hwater_com,1,0
comGSHeatPump_solarT,Central,2020,fixed,95.59013727,1,64.08545969,1,0,1,78.013386,10,3524.262184,20,0.7,0.006059059,2.48722785,1,0.1,energy,electricity,hwater_com,1,0
