,dst_region,asset,year,region,technology,installed,capacity
0,R1,0,2040,R1,solarPV,2020,25.50000000000
1,R1,0,2045,R1,solarPV,2020,25.50000000000
2,R1,0,2049,R1,solarPV,2020,25.50000000000
24,R1,2,2040,R1,solarPV,2030,46.50000000000
25,R1,2,2045,R1,solarPV,2030,46.50000000000
26,R1,2,2049,R1,solarPV,2030,46.50000000000
27,R1,2,2050,R1,solarPV,2030,46.50000000000
28,R1,2,2054,R1,solarPV,2030,46.50000000000
29,R1,2,2055,R1,solarPV,2030,46.50000000000
30,R1,2,2059,R1,solarPV,2030,46.50000000000
48,R2,0,2040,R1,solarPV,2020,11.33330000000
49,R2,0,2045,R1,solarPV,2020,11.33330000000
50,R2,0,2049,R1,solarPV,2020,11.33330000000
60,R2,1,2040,R1,solarPV,2025,16.62960000000
61,R2,1,2045,R1,solarPV,2025,16.62960000000
62,R2,1,2049,R1,solarPV,2025,16.62960000000
63,R2,1,2050,R1,solarPV,2025,16.62960000000
64,R2,1,2054,R1,solarPV,2025,16.62960000000
72,R2,2,2040,R1,solarPV,2030,19.57200000000
73,R2,2,2045,R1,solarPV,2030,19.57200000000
74,R2,2,2049,R1,solarPV,2030,19.57200000000
75,R2,2,2050,R1,solarPV,2030,19.57200000000
76,R2,2,2054,R1,solarPV,2030,19.57200000000
77,R2,2,2055,R1,solarPV,2030,19.57200000000
78,R2,2,2059,R1,solarPV,2030,19.57200000000
