,dst_region,asset,year,region,technology,installed,capacity
0,R1,0,2045,R1,solarPV,2020,25.50000000000
1,R1,0,2049,R1,solarPV,2020,25.50000000000
26,R1,2,2045,R1,solarPV,2030,46.50000000000
27,R1,2,2049,R1,solarPV,2030,46.50000000000
28,R1,2,2050,R1,solarPV,2030,46.50000000000
29,R1,2,2054,R1,solarPV,2030,46.50000000000
30,R1,2,2055,R1,solarPV,2030,46.50000000000
31,R1,2,2059,R1,solarPV,2030,46.50000000000
41,R1,3,2050,R1,solarPV,2045,61.50000000000
42,R1,3,2054,R1,solarPV,2045,61.50000000000
43,R1,3,2055,R1,solarPV,2045,61.50000000000
44,R1,3,2059,R1,solarPV,2045,61.50000000000
45,R1,3,2060,R1,solarPV,2045,61.50000000000
46,R1,3,2064,R1,solarPV,2045,61.50000000000
47,R1,3,2065,R1,solarPV,2045,61.50000000000
48,R1,3,2069,R1,solarPV,2045,61.50000000000
49,R1,3,2070,R1,solarPV,2045,61.50000000000
50,R1,3,2074,R1,solarPV,2045,61.50000000000
52,R2,0,2045,R1,solarPV,2020,11.33330000000
53,R2,0,2049,R1,solarPV,2020,11.33330000000
65,R2,1,2045,R1,solarPV,2025,16.62960000000
66,R2,1,2049,R1,solarPV,2025,16.62960000000
67,R2,1,2050,R1,solarPV,2025,16.62960000000
68,R2,1,2054,R1,solarPV,2025,16.62960000000
78,R2,2,2045,R1,solarPV,2030,19.57200000000
79,R2,2,2049,R1,solarPV,2030,19.57200000000
80,R2,2,2050,R1,solarPV,2030,19.57200000000
81,R2,2,2054,R1,solarPV,2030,19.57200000000
82,R2,2,2055,R1,solarPV,2030,19.57200000000
83,R2,2,2059,R1,solarPV,2030,19.57200000000
93,R2,3,2050,R1,solarPV,2045,31.91040000000
94,R2,3,2054,R1,solarPV,2045,31.91040000000
95,R2,3,2055,R1,solarPV,2045,31.91040000000
96,R2,3,2059,R1,solarPV,2045,31.91040000000
97,R2,3,2060,R1,solarPV,2045,31.91040000000
98,R2,3,2064,R1,solarPV,2045,31.91040000000
99,R2,3,2065,R1,solarPV,2045,31.91040000000
100,R2,3,2069,R1,solarPV,2045,31.91040000000
101,R2,3,2070,R1,solarPV,2045,31.91040000000
102,R2,3,2074,R1,solarPV,2045,31.91040000000
