,dst_region,asset,year,region,technology,installed,capacity
0,R1,0,2035,R1,solarPV,2020,25.50000000000
1,R1,0,2040,R1,solarPV,2020,25.50000000000
2,R1,0,2045,R1,solarPV,2020,25.50000000000
3,R1,0,2049,R1,solarPV,2020,25.50000000000
22,R1,2,2035,R1,solarPV,2030,46.50000000000
23,R1,2,2040,R1,solarPV,2030,46.50000000000
24,R1,2,2045,R1,solarPV,2030,46.50000000000
25,R1,2,2049,R1,solarPV,2030,46.50000000000
26,R1,2,2050,R1,solarPV,2030,46.50000000000
27,R1,2,2054,R1,solarPV,2030,46.50000000000
28,R1,2,2055,R1,solarPV,2030,46.50000000000
29,R1,2,2059,R1,solarPV,2030,46.50000000000
44,R2,0,2035,R1,solarPV,2020,11.33330000000
45,R2,0,2040,R1,solarPV,2020,11.33330000000
46,R2,0,2045,R1,solarPV,2020,11.33330000000
47,R2,0,2049,R1,solarPV,2020,11.33330000000
55,R2,1,2035,R1,solarPV,2025,16.62960000000
56,R2,1,2040,R1,solarPV,2025,16.62960000000
57,R2,1,2045,R1,solarPV,2025,16.62960000000
58,R2,1,2049,R1,solarPV,2025,16.62960000000
59,R2,1,2050,R1,solarPV,2025,16.62960000000
60,R2,1,2054,R1,solarPV,2025,16.62960000000
66,R2,2,2035,R1,solarPV,2030,19.57200000000
67,R2,2,2040,R1,solarPV,2030,19.57200000000
68,R2,2,2045,R1,solarPV,2030,19.57200000000
69,R2,2,2049,R1,solarPV,2030,19.57200000000
70,R2,2,2050,R1,solarPV,2030,19.57200000000
71,R2,2,2054,R1,solarPV,2030,19.57200000000
72,R2,2,2055,R1,solarPV,2030,19.57200000000
73,R2,2,2059,R1,solarPV,2030,19.57200000000
