ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2,Agent1
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit,New
passengerjet_kerosene,Central,2020,fixed,1530.00,1.00,28.50,1,0.00,0,10000,100,1000000,30,0.78,7.4052,70,0.1,energy,kerosene,psg_air,1,0
cars_petrol,Central,2020,fixed,1.04,1.00,0.13,1,0.00,0,10000,100,1000000,12,0.08,2.5,70,0.1,energy,gasoline,cars,1,0
cars_lpg,Central,2020,fixed,1.17,1.00,0.13,1,0.00,0,10000,100,1000000,12,0.08,2.5,70,0.1,energy,lp_gas,cars,1,0
cars_hybridpetrol,Central,2020,fixed,1.39,1.00,0.15,1,0.00,0,10000,100,1000000,12,0.08,2.5,70,0.1,energy,gasoline,cars,1,0
cars_diesel,Central,2020,fixed,1.07,1.00,0.13,1,0.00,0,10000,100,1000000,12,0.08,2.5,70,0.1,energy,diesel,cars,1,0
cars_hybriddiesel,Central,2020,fixed,1.41,1.00,0.15,1,0.00,0,10000,100,1000000,12,0.08,2.5,70,0.1,energy,diesel,cars,1,0
cars_pluginhybriddiesel,Central,2020,fixed,2.55,1.00,0.19,1,0.00,0,10000,100,1000000,12,0.08,2.5,70,0.1,energy,diesel,cars,1,0
cars_hydrogenfc,Central,2020,fixed,6.01,1.00,0.40,1,0.00,0,10000,100,1000000,12,0.08,2.5,70,0.1,energy,hydrogen,cars,1,0
cars_hybridhydrogenfc,Central,2020,fixed,5.36,1.00,0.37,1,0.00,0,10000,100,1000000,12,0.08,2.5,70,0.1,energy,hydrogen,cars,1,0
cars_pluginhybridhydrogenfc,Central,2020,fixed,5.62,1.00,0.37,1,0.00,0,10000,100,1000000,12,0.08,2.5,70,0.1,energy,electricity,cars,1,0
cars_hybridliquidhydrogen,Central,2020,fixed,1.49,1.00,0.14,1,0.00,0,10000,100,1000000,12,0.08,2.5,70,0.1,energy,hydrogen,cars,1,0
cars_cng,Central,2020,fixed,1.15,1.00,0.13,1,0.00,0,10000,100,1000000,12,0.08,2.5,70,0.1,energy,cng,cars,1,0
cars_flexiblefuel,Central,2020,fixed,1.05,1.00,0.13,1,0.00,0,10000,100,1000000,12,0.08,2.5,70,0.1,energy,gasoline,cars,1,0
