ProcessName,RegionName,Time,Level,cap_exp,fix_exp,var_par,var_exp,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,AgentShare
Unit,-,Year,-,-,-,MUS$2010/PJ,-,Years,-,PJ,%,-,-,-,-,1
agrTraditionalCropping_fruits,Central,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,fruits,1
agrModernCropping_fruits,Central,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,fruits,1
agrTraditionalCropping_vegt,Central,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,vegt,1
agrModernCropping_vegt,Central,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,vegt,1
agrTraditionalCropping_seeds,Central,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,seeds,1
agrModernCropping_seeds,Central,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,seeds,1
agrTraditionalCropping_plants,Central,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,plants,1
agrModernCropping_plants,Central,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,plants,1
livestock_meat,Central,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,livestock,1
livestock_milk,Central,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,milk,1
livestock_other,Central,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,other_agri,1
agrTraditionalCropping_fruits,Eastern,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,fruits,1
agrModernCropping_fruits,Eastern,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,fruits,1
agrTraditionalCropping_vegt,Eastern,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,vegt,1
agrModernCropping_vegt,Eastern,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,vegt,1
agrTraditionalCropping_seeds,Eastern,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,seeds,1
agrModernCropping_seeds,Eastern,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,seeds,1
agrTraditionalCropping_plants,Eastern,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,plants,1
agrModernCropping_plants,Eastern,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,plants,1
livestock_meat,Eastern,2020,fixed,0,0,0,0,0,0,0,0,0,food,diesel,livestock,1
