ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2,Agent1
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit,New
freighttrain_diesel,Northwest,2020,fixed,66.8,1,0.87,1,0,0,1000000,20000,10000000,40,0.55,7.4052,70,0.1,energy,diesel,cargo_rail,1,0
freighttrain_electric,Northwest,2020,fixed,61.3,1,0.6,1,0,0,1000000,20000,10000000,40,0.55,7.4052,70,0.1,energy,electricity,cargo_rail,1,0
freighttrain_hydrogenfc,Northwest,2020,fixed,112,1,2.89,1,0,0,1000000,20000,10000000,40,0.55,7.4052,70,0.1,energy,hydrogen,cargo_rail,1,0
shipping_heavyoil,Northwest,2020,fixed,66.8,1,0.87,1,0,0,1000000,20000,10000000,40,0.55,7.4052,70,0.1,energy,hfo,cargo_mar,1,0
freighttrain_coal,Northwest,2020,fixed,66.8,1,0.87,1,0,0,1000000,20000,10000000,40,0.55,7.4052,70,0.1,energy,hardcoal,cargo_rail,1,0
passengerjet_kerosene,North,2020,fixed,1530,1,28.5,1,0,0,1000000,20000,10000000,30,0.78,7.4052,70,0.1,energy,kerosene,psg_air,1,0
cars_petrol,North,2020,fixed,1.04,1,0.13,1,0,0,1000000,20000,10000000,12,0.08,2.5,70,0.1,energy,gasoline,cars,1,0
cars_hybridpetrol,North,2020,fixed,1.39,1,0.15,1,0,0,1000000,20000,10000000,12,0.08,2.5,70,0.1,energy,gasoline,cars,1,0
cars_diesel,North,2020,fixed,1.07,1,0.13,1,0,0,1000000,20000,10000000,12,0.08,2.5,70,0.1,energy,diesel,cars,1,0
cars_hydrogenfc,North,2020,fixed,6.01,1,0.4,1,0,0,1000000,20000,10000000,12,0.08,2.5,70,0.1,energy,hydrogen,cars,1,0
cars_cng,North,2020,fixed,1.15,1,0.13,1,0,0,1000000,20000,10000000,12,0.08,2.5,70,0.1,energy,cng,cars,1,0
cars_flexiblefuel,North,2020,fixed,1.05,1,0.13,1,0,0,1000000,20000,10000000,12,0.08,2.5,70,0.1,energy,gasoline,cars,1,0
cars_battery,North,2020,fixed,3.61,1,0.25,1,0,0,1000000,20000,10000000,12,0.08,2.5,70,0.1,energy,electricity,cars,1,0
bus_diesel,North,2020,fixed,0.22,1,0.02,1,0,0,1000000,20000,10000000,15,0.8,2.5,70,0.1,energy,diesel,buses,1,0
