ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
comHWaterBiomass_HC,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comHWaterCoal_HC,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comHWaterElec_HC,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comHWaterLFO_HC,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
comHWaterNG_HC,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comASHeatPump,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comASHeatPump_solarT,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comASHeatPumpNG,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerBiomass,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerBiomass_solarT,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerCoal,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerCoal_solarT,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerElectriciy_solarT,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerKerosene,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerKerosene_solarT,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerNG,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comBoilerNG_solarT,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comCHPBiomass,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comCHPCoal,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comCHPNG,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comCookingBiomass,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comCookingCoal,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comCookingKerosene,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
res_comCookingNG,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0,0
