,RegionName,ProcessName,Timeslice,electricity,hfo,gas,geo,heat,CO2f,wind,cook,biomass,water,uranium,solar,coal,diesel,e_demand
0,Central,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35956288
1,Central,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57304192
2,Central,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9326048
3,Central,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78652096
4,Central,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39326048
5,Central,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39326048
0,Central,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17978144
1,Central,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78652096
2,Central,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9663024
3,Central,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39326048
4,Central,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69663024
5,Central,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69663024
0,Eastern,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5356912
1,Eastern,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6904608
2,Eastern,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.226152
3,Eastern,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8452304
4,Eastern,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4226152
5,Eastern,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4226152
0,Eastern,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2678456
1,Eastern,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8452304
2,Eastern,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.113076
3,Eastern,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4226152
4,Eastern,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7113076
5,Eastern,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7113076
0,Western,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.35863648
1,Western,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.71727296
2,Western,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7931824
3,Western,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.35863648
4,Western,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67931824
5,Western,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67931824
0,Western,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67931824
1,Western,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.35863648
2,Western,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3965912
3,Western,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67931824
4,Western,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83965912
5,Western,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83965912
0,Northwest,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83736608
1,Northwest,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22491072
2,Northwest,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0622768
3,Northwest,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61245536
4,Northwest,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30622768
5,Northwest,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30622768
0,Northwest,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91868304
1,Northwest,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61245536
2,Northwest,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5311384
3,Northwest,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30622768
4,Northwest,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15311384
5,Northwest,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15311384
0,North,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71151776
1,North,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14101184
2,North,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8525296
3,North,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57050592
4,North,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78525296
5,North,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78525296
0,North,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35575888
1,North,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57050592
2,North,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9262648
3,North,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78525296
4,North,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89262648
5,North,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89262648
0,Northeast,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.00007872
1,Northeast,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.00015744
2,Northeast,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0003936
3,Northeast,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.00007872
4,Northeast,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00003936
5,Northeast,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00003936
0,Northeast,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00003936
1,Northeast,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.00007872
2,Northeast,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0001968
3,Northeast,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00003936
4,Northeast,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00001968
5,Northeast,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00001968
0,BajaCalif,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31318528
1,BajaCalif,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54212352
2,BajaCalif,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8553088
3,BajaCalif,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77106176
4,BajaCalif,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88553088
5,BajaCalif,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88553088
0,BajaCalif,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65659264
1,BajaCalif,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77106176
2,BajaCalif,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4276544
3,BajaCalif,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88553088
4,BajaCalif,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44276544
5,BajaCalif,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44276544
0,BajaCalifSouth,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36424736
1,BajaCalifSouth,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90949824
2,BajaCalifSouth,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2737456
3,BajaCalifSouth,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45474912
4,BajaCalifSouth,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22737456
5,BajaCalifSouth,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22737456
0,BajaCalifSouth,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68212368
1,BajaCalifSouth,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45474912
2,BajaCalifSouth,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1368728
3,BajaCalifSouth,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22737456
4,BajaCalifSouth,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11368728
5,BajaCalifSouth,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11368728
0,Peninsular,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73006496
1,Peninsular,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46012992
2,Peninsular,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6503248
3,Peninsular,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73006496
4,Peninsular,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86503248
5,Peninsular,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86503248
0,Peninsular,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86503248
1,Peninsular,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73006496
2,Peninsular,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3251624
3,Peninsular,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86503248
4,Peninsular,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43251624
5,Peninsular,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43251624
