asset,year,region,technology,installed,capacity
0,2020,R1,gasCCGT,2020,1.00000000000
0,2025,R1,gasCCGT,2020,5.84130000000
0,2030,R1,gasCCGT,2020,4.84130000000
0,2035,R1,gasCCGT,2020,4.84130000000
0,2040,R1,gasCCGT,2020,4.84130000000
0,2045,R1,gasCCGT,2020,4.84130000000
0,2049,R1,gasCCGT,2020,4.84130000000
0,2050,R1,gasCCGT,2020,4.84130000000
0,2059,R1,gasCCGT,2020,4.84130000000
1,2025,R1,windturbine,2020,14.05250000000
1,2030,R1,windturbine,2020,14.05250000000
1,2035,R1,windturbine,2020,14.05250000000
1,2040,R1,windturbine,2020,14.05250000000
1,2045,R1,windturbine,2020,14.05250000000
1,2049,R1,windturbine,2020,14.05250000000
