ProcessName,RegionName,Time,StdUnitCapacity,TechnicalLife,GrossEfficiency,OwnUseRate,Availability,MinLoadRate,CCSCaptureRate,DayStorageOutput,CAPEX,OPEX,DiscountRate,RunningCost
Unit,Unit,Year,MW,Year,%,%,%,%,%,GWh,USD/KW,USD/KW,%,USD/KWh
COA_SUB_HC,MEX,2010,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2015,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2020,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2025,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2030,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2035,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2040,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2045,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2050,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2055,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2060,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2065,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2070,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2075,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2080,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2085,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2090,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2095,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SUB_HC,MEX,2100,3000,40,35,7,95,0,0,0,1451.182427,29.02364853,5,0.001
COA_SC_HC,MEX,2010,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2015,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2020,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2025,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2030,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2035,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2040,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2045,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2050,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2055,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2060,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2065,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2070,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2075,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2080,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2085,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2090,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2095,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_SC_HC,MEX,2100,3000,40,40,7,95,0,0,0,1668.859791,33.37719581,5,0.001
COA_USC_HC,MEX,2010,3000,40,45,7,95,0,0,0,1886.537155,37.73074309,5,0.001
COA_USC_HC,MEX,2015,3000,40,45,7,95,0,0,0,1886.537155,37.73074309,5,0.001
COA_USC_HC,MEX,2020,3000,40,46,7,95,0,0,0,1886.537155,37.73074309,5,0.001
COA_USC_HC,MEX,2025,3000,40,47,7,95,0,0,0,1886.537155,37.73074309,5,0.001
COA_USC_HC,MEX,2030,3000,40,48,7,95,0,0,0,1886.537155,37.73074309,5,0.001
COA_USC_HC,MEX,2035,3000,40,48.5,7,95,0,0,0,1886.537155,37.73074309,5,0.001
COA_USC_HC,MEX,2040,3000,40,49,7,95,0,0,0,1886.537155,37.73074309,5,0.001
COA_USC_HC,MEX,2045,3000,40,49.5,7,95,0,0,0,1886.537155,37.73074309,5,0.001
COA_USC_HC,MEX,2050,3000,40,50,7,95,0,0,0,1886.537155,37.73074309,5,0.001
COA_USC_HC,MEX,2055,3000,40,50,7,95,0,0,0,1886.537155,37.73074309,5,0.001
COA_USC_HC,MEX,2060,3000,40,50,7,95,0,0,0,1886.537155,37.73074309,5,0.001
COA_USC_HC,MEX,2065,3000,40,50,7,95,0,0,0,1886.537155,37.73074309,5,0.001
COA_USC_HC,MEX,2070,3000,40,50,7,95,0,0,0,1886.537155,37.73074309,5,0.001
COA_USC_HC,MEX,2075,3000,40,50,7,95,0,0,0,1886.537155,37.73074309,5,0.001
COA_USC_HC,MEX,2080,3000,40,50,7,95,0,0,0,1886.537155,37.73074309,5,0.001
