timeslice,commodity,year,asset,region,technology,installed,month,day,hour,supply
4,cook,2050,1,R1,electric_stove,2040,all-year,all-week,late-peak,1.78130000000
4,cook,2050,2,R1,electric_stove,2045,all-year,all-week,late-peak,1.15950000000
4,cook,2050,3,R1,gas_stove,2040,all-year,all-week,late-peak,0.05920000000
5,heat,2045,0,R1,electric_stove,2035,all-year,all-week,evening,1.44440000000
5,heat,2045,1,R1,electric_stove,2040,all-year,all-week,evening,3.24330000000
5,heat,2045,3,R1,gas_stove,2040,all-year,all-week,evening,0.10780000000
5,heat,2045,4,R1,heatpump,2040,all-year,all-week,evening,0.53780000000
5,heat,2050,1,R1,electric_stove,2040,all-year,all-week,evening,3.24330000000
5,heat,2050,2,R1,electric_stove,2045,all-year,all-week,evening,2.11110000000
5,heat,2050,3,R1,gas_stove,2040,all-year,all-week,evening,0.10780000000
5,heat,2050,4,R1,heatpump,2040,all-year,all-week,evening,0.53780000000
5,CO2f,2045,3,R1,gas_stove,2040,all-year,all-week,evening,12.54920000000
5,CO2f,2050,3,R1,gas_stove,2040,all-year,all-week,evening,12.08160000000
5,cook,2045,0,R1,electric_stove,2035,all-year,all-week,evening,1.15460000000
5,cook,2045,1,R1,electric_stove,2040,all-year,all-week,evening,2.59260000000
5,cook,2045,3,R1,gas_stove,2040,all-year,all-week,evening,0.08620000000
5,cook,2050,1,R1,electric_stove,2040,all-year,all-week,evening,2.37510000000
5,cook,2050,2,R1,electric_stove,2045,all-year,all-week,evening,1.54600000000
5,cook,2050,3,R1,gas_stove,2040,all-year,all-week,evening,0.07890000000
