ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
Bioenergy,Eastern,2020,fixed,5,1,0,1,0,1,0.227138537,1,110,25,0.9,0.00000189,40,0.1,energy,biomass,electricity,1
CC,Eastern,2020,fixed,2,1,0,1,0,1,3.114343008,1,110,25,0.9,0.00000189,40,0.1,energy,gas,electricity,1
CHP,Eastern,2020,fixed,2,1,0,1,0,1,4.182279091,1,110,25,0.9,0.00000189,60,0.1,energy,gas,electricity,1
IC,Eastern,2020,fixed,3,1,0,1,0,1,0.038843582,1,110,25,0.9,0.00000189,40,0.1,energy,diesel,electricity,1
Hydroelectric,Eastern,2020,fixed,6,1,0,1,0,1,5.478488492,1,110,25,0.9,0.00000189,100,0.1,energy,water,electricity,1
Thermoelectric,Eastern,2020,fixed,5,1,0,1,0,1,0.575353346,1,110,25,0.9,0.00000189,40,0.1,energy,gas,electricity,1
Turbogas,Eastern,2020,fixed,4,1,0,1,0,1,1.096849102,1,110,25,0.9,0.00000189,40,0.1,energy,gas,electricity,1
Wind,Eastern,2020,fixed,7,1,0,1,0,1,4.075425144,1,110,25,0.3,0.00000189,100,0.1,energy,wind,electricity,1
Geothermal,Eastern,2020,fixed,4,1,0,1,0,1,0.06566359,1,110,25,0.9,0.00000189,40,0.1,energy,heat,electricity,1
Nuclear,Eastern,2020,fixed,3,1,0,1,0,1,3.3149088,1,110,25,0.9,0.00000189,50,0.1,energy,uranium,electricity,1
Bioenergy,Western,2020,fixed,5,1,0,1,0,1,0.055648253,1,110,25,0.9,0.00000189,40,0.1,energy,biomass,electricity,1
Coal,Western,2020,fixed,7,1,0,1,0,1,3.023277062,1,110,25,0.9,0.00000189,40,0.1,energy,coal,electricity,1
CC,Western,2020,fixed,8,1,0,1,0,1,7.398485892,1,110,25,0.9,0.00000189,40,0.1,energy,gas,electricity,1
CHP,Western,2020,fixed,4,1,0,1,0,1,0.004768243,1,110,25,0.9,0.00000189,40,0.1,energy,gas,electricity,1
IC,Western,2020,fixed,3,1,0,1,0,1,0.110470046,1,110,25,0.9,0.00000189,40,0.1,energy,diesel,electricity,1
Geothermal,Western,2020,fixed,5,1,0,1,0,1,0.493977658,1,110,25,0.9,0.00000189,40,0.1,energy,heat,electricity,1
Hydroelectric,Western,2020,fixed,8,1,0,1,0,1,4.022918298,1,110,25,0.9,0.00000189,100,0.1,energy,water,electricity,1
Solar,Western,2020,fixed,6,1,0,1,0,1,0.418233564,1,110,25,0.3,0.00000189,100,0.1,energy,sun,electricity,1
Thermoelectric,Western,2020,fixed,4,1,0,1,0,1,1.209523039,1,110,25,0.9,0.00000189,40,0.1,energy,gas,electricity,1
Turbogas,Western,2020,fixed,2,1,0,1,0,1,0.589540896,1,110,25,0.9,0.00000189,40,0.1,energy,gas,electricity,1
FB,Western,2020,fixed,6,1,0,1,0,1,0.63111888,1,110,25,0.9,0.00000189,40,0.1,energy,coal,electricity,1
Wind,Western,2020,fixed,8,1,0,1,0,1,0.939484224,1,110,25,0.3,0.00000189,100,0.1,energy,wind,electricity,1
