asset,year,region,technology,installed,capacity
0,2040,R1,electric_stove,2030,19.90000000000
0,2044,R1,electric_stove,2030,19.90000000000
1,2040,R1,electric_stove,2035,13.00000000000
1,2044,R1,electric_stove,2035,13.00000000000
1,2045,R1,electric_stove,2035,13.00000000000
1,2049,R1,electric_stove,2035,13.00000000000
2,2045,R1,electric_stove,2040,29.19000000000
2,2049,R1,electric_stove,2040,29.19000000000
2,2050,R1,electric_stove,2040,29.19000000000
2,2054,R1,electric_stove,2040,29.19000000000
3,2040,R1,gas_stove,2030,4.70000000000
3,2044,R1,gas_stove,2030,4.70000000000
4,2045,R1,gas_stove,2040,0.97000000000
4,2049,R1,gas_stove,2040,0.97000000000
4,2050,R1,gas_stove,2040,0.97000000000
4,2054,R1,gas_stove,2040,0.97000000000
5,2040,R1,heatpump,2030,4.40000000000
5,2044,R1,heatpump,2030,4.40000000000
6,2045,R1,heatpump,2040,4.84000000000
6,2049,R1,heatpump,2040,4.84000000000
6,2050,R1,heatpump,2040,4.84000000000
6,2054,R1,heatpump,2040,4.84000000000
