asset,year,region,technology,installed,capacity
0,2035,R1,electric_stove,2025,7.00000000000
0,2039,R1,electric_stove,2025,7.00000000000
1,2035,R1,electric_stove,2030,19.90000000000
1,2039,R1,electric_stove,2030,19.90000000000
1,2040,R1,electric_stove,2030,19.90000000000
1,2044,R1,electric_stove,2030,19.90000000000
2,2040,R1,electric_stove,2035,13.00000000000
2,2044,R1,electric_stove,2035,13.00000000000
2,2045,R1,electric_stove,2035,13.00000000000
2,2049,R1,electric_stove,2035,13.00000000000
3,2035,R1,gas_stove,2030,4.70000000000
3,2039,R1,gas_stove,2030,4.70000000000
3,2040,R1,gas_stove,2030,4.70000000000
3,2044,R1,gas_stove,2030,4.70000000000
4,2035,R1,heatpump,2030,4.40000000000
4,2039,R1,heatpump,2030,4.40000000000
4,2040,R1,heatpump,2030,4.40000000000
4,2044,R1,heatpump,2030,4.40000000000
