,agent,capacity,dst_region,index,installed,region,sector,technology,type,year
14,A2,300.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2025
21,A2,300.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2025
4,A1,295.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2030
9,A1,300.00000000000,R1,14,2020,R1,residential,heatpump,retrofit,2030
18,A1,295.00000000000,R2,0,2020,R2,residential,gasboiler,retrofit,2030
23,A1,300.00000000000,R2,14,2020,R2,residential,heatpump,retrofit,2030
32,A2,295.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2030
37,A2,300.00000000000,R1,14,2020,R1,residential,heatpump,retrofit,2030
46,A2,295.00000000000,R2,0,2020,R2,residential,gasboiler,retrofit,2030
51,A2,300.00000000000,R2,14,2020,R2,residential,heatpump,retrofit,2030
0,A1,2.50000000000,R1,0,2010,R1,power,gasCCGT,agent,2030
1,A1,25.50000000000,R1,20,2020,R1,power,solarPV,agent,2030
14,A1,16.62960000000,R2,51,2025,R1,power,solarPV,agent,2030
21,A1,2.50000000000,R2,5,2010,R2,power,gasCCGT,agent,2030
22,A2,2.50000000000,R1,0,2010,R1,power,gasCCGT,agent,2030
23,A2,11.33330000000,R2,40,2020,R1,power,solarPV,agent,2030
36,A2,2.50000000000,R2,5,2010,R2,power,gasCCGT,agent,2030
0,A1,292.50000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2030
6,A1,292.50000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2030
12,A2,292.50000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2030
18,A2,292.50000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2030
0,A1,300.00000000000,R1,0,2030,R1,residential,gasboiler,retrofit,2035
3,A1,300.00000000000,R1,5,2030,R1,residential,heatpump,retrofit,2035
6,A1,300.00000000000,R2,0,2030,R2,residential,gasboiler,retrofit,2035
9,A1,300.00000000000,R2,5,2030,R2,residential,heatpump,retrofit,2035
12,A2,300.00000000000,R1,0,2030,R1,residential,gasboiler,retrofit,2035
15,A2,300.00000000000,R1,5,2030,R1,residential,heatpump,retrofit,2035
18,A2,300.00000000000,R2,0,2030,R2,residential,gasboiler,retrofit,2035
21,A2,300.00000000000,R2,5,2030,R2,residential,heatpump,retrofit,2035
0,A1,25.50000000000,R1,0,2020,R1,power,solarPV,agent,2035
1,A1,46.50000000000,R1,2,2030,R1,power,solarPV,agent,2035
12,A1,16.62960000000,R2,45,2025,R1,power,solarPV,agent,2035
18,A2,11.33330000000,R2,33,2020,R1,power,solarPV,agent,2035
19,A2,19.57200000000,R2,34,2030,R1,power,solarPV,agent,2035
0,A1,285.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2035
5,A1,285.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2035
10,A2,285.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2035
15,A2,285.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2035
4,A1,300.00000000000,R1,0,2030,R1,residential,gasboiler,retrofit,2040
9,A1,300.00000000000,R1,12,2030,R1,residential,heatpump,retrofit,2040
18,A1,300.00000000000,R2,0,2030,R2,residential,gasboiler,retrofit,2040
23,A1,300.00000000000,R2,12,2030,R2,residential,heatpump,retrofit,2040
32,A2,300.00000000000,R1,0,2030,R1,residential,gasboiler,retrofit,2040
37,A2,300.00000000000,R1,12,2030,R1,residential,heatpump,retrofit,2040
46,A2,300.00000000000,R2,0,2030,R2,residential,gasboiler,retrofit,2040
51,A2,300.00000000000,R2,12,2030,R2,residential,heatpump,retrofit,2040
0,A1,25.50000000000,R1,0,2020,R1,power,solarPV,agent,2040
1,A1,46.50000000000,R1,2,2030,R1,power,solarPV,agent,2040
10,A1,16.62960000000,R2,49,2025,R1,power,solarPV,agent,2040
15,A2,11.33330000000,R2,36,2020,R1,power,solarPV,agent,2040
16,A2,19.57200000000,R2,37,2030,R1,power,solarPV,agent,2040
0,A1,285.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2040
4,A1,285.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2040
8,A2,285.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2040
12,A2,285.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2040
