timeslice,commodity,year,asset,region,installed,technology,month,day,hour,supply
5,heat,2050,3,R1,2040,heatpump,all-year,all-week,evening,0.53780000000
5,heat,2050,4,R1,2045,electric_stove,all-year,all-week,evening,2.11110000000
5,heat,2055,4,R1,2045,electric_stove,all-year,all-week,evening,2.11110000000
5,heat,2055,5,R1,2050,electric_stove,all-year,all-week,evening,3.77880000000
5,heat,2055,6,R1,2050,heatpump,all-year,all-week,evening,0.11010000000
5,CO2f,2050,2,R1,2040,gas_stove,all-year,all-week,evening,12.08160000000
5,cook,2050,1,R1,2040,electric_stove,all-year,all-week,evening,2.37510000000
5,cook,2050,2,R1,2040,gas_stove,all-year,all-week,evening,0.07890000000
5,cook,2050,4,R1,2045,electric_stove,all-year,all-week,evening,1.54600000000
5,cook,2055,4,R1,2045,electric_stove,all-year,all-week,evening,1.43370000000
5,cook,2055,5,R1,2050,electric_stove,all-year,all-week,evening,2.56630000000
