timeslice,commodity,year,asset,region,technology,installed,month,day,hour,supply
0,heat,2040,0,R1,electric_stove,2030,all-year,all-week,night,1.10560000000
0,heat,2040,1,R1,electric_stove,2035,all-year,all-week,night,0.72220000000
0,heat,2040,3,R1,gas_stove,2030,all-year,all-week,night,0.26110000000
0,heat,2040,5,R1,heatpump,2030,all-year,all-week,night,0.24440000000
0,heat,2045,1,R1,electric_stove,2035,all-year,all-week,night,0.72220000000
0,heat,2045,2,R1,electric_stove,2040,all-year,all-week,night,1.62170000000
0,heat,2045,4,R1,gas_stove,2040,all-year,all-week,night,0.05390000000
0,heat,2045,6,R1,heatpump,2040,all-year,all-week,night,0.26890000000
0,CO2f,2040,3,R1,gas_stove,2030,all-year,all-week,night,30.37780000000
0,CO2f,2045,4,R1,gas_stove,2040,all-year,all-week,night,6.15340000000
0,cook,2040,0,R1,electric_stove,2030,all-year,all-week,night,0.88210000000
0,cook,2040,1,R1,electric_stove,2035,all-year,all-week,night,0.57620000000
0,cook,2040,3,R1,gas_stove,2030,all-year,all-week,night,0.20830000000
0,cook,2045,1,R1,electric_stove,2035,all-year,all-week,night,0.55220000000
0,cook,2045,2,R1,electric_stove,2040,all-year,all-week,night,1.23990000000
0,cook,2045,4,R1,gas_stove,2040,all-year,all-week,night,0.04120000000
1,heat,2040,0,R1,electric_stove,2030,all-year,all-week,morning,1.65830000000
1,heat,2040,1,R1,electric_stove,2035,all-year,all-week,morning,1.08330000000
1,heat,2040,3,R1,gas_stove,2030,all-year,all-week,morning,0.39170000000
1,heat,2040,5,R1,heatpump,2030,all-year,all-week,morning,0.36670000000
1,heat,2045,1,R1,electric_stove,2035,all-year,all-week,morning,1.08330000000
1,heat,2045,2,R1,electric_stove,2040,all-year,all-week,morning,2.43250000000
1,heat,2045,4,R1,gas_stove,2040,all-year,all-week,morning,0.08080000000
1,heat,2045,6,R1,heatpump,2040,all-year,all-week,morning,0.40330000000
1,CO2f,2040,3,R1,gas_stove,2030,all-year,all-week,morning,46.91480000000
1,CO2f,2045,4,R1,gas_stove,2040,all-year,all-week,morning,9.35130000000
1,cook,2040,0,R1,electric_stove,2030,all-year,all-week,morning,1.41130000000
1,cook,2040,1,R1,electric_stove,2035,all-year,all-week,morning,0.92200000000
1,cook,2040,3,R1,gas_stove,2030,all-year,all-week,morning,0.33330000000
1,cook,2045,1,R1,electric_stove,2035,all-year,all-week,morning,0.85340000000
1,cook,2045,2,R1,electric_stove,2040,all-year,all-week,morning,1.91620000000
1,cook,2045,4,R1,gas_stove,2040,all-year,all-week,morning,0.06370000000
2,heat,2040,0,R1,electric_stove,2030,all-year,all-week,afternoon,1.10560000000
2,heat,2040,1,R1,electric_stove,2035,all-year,all-week,afternoon,0.72220000000
2,heat,2040,3,R1,gas_stove,2030,all-year,all-week,afternoon,0.26110000000
