timeslice,commodity,year,asset,region,technology,installed,month,day,hour,supply
0,heat,2025,0,R1,electric_stove,2020,all-year,all-week,night,0.68690000000
0,heat,2025,2,R1,gas_stove,2020,all-year,all-week,night,0.28280000000
0,heat,2025,3,R1,gasboiler,2020,all-year,all-week,night,0.20200000000
0,heat,2025,4,R1,heatpump,2020,all-year,all-week,night,0.16160000000
0,heat,2030,0,R1,electric_stove,2020,all-year,all-week,night,0.66670000000
0,heat,2030,1,R1,electric_stove,2025,all-year,all-week,night,0.38890000000
0,heat,2030,2,R1,gas_stove,2020,all-year,all-week,night,0.38890000000
0,heat,2030,4,R1,heatpump,2020,all-year,all-week,night,0.22220000000
0,CO2f,2025,2,R1,gas_stove,2020,all-year,all-week,night,40.32120000000
0,CO2f,2025,3,R1,gasboiler,2020,all-year,all-week,night,13.07270000000
0,CO2f,2030,2,R1,gas_stove,2020,all-year,all-week,night,48.39420000000
0,cook,2025,0,R1,electric_stove,2020,all-year,all-week,night,0.82640000000
0,cook,2025,2,R1,gas_stove,2020,all-year,all-week,night,0.34030000000
0,cook,2030,0,R1,electric_stove,2020,all-year,all-week,night,0.61540000000
0,cook,2030,1,R1,electric_stove,2025,all-year,all-week,night,0.35900000000
0,cook,2030,2,R1,gas_stove,2020,all-year,all-week,night,0.35900000000
1,heat,2025,0,R1,electric_stove,2020,all-year,all-week,morning,1.03030000000
1,heat,2025,2,R1,gas_stove,2020,all-year,all-week,morning,0.42420000000
1,heat,2025,3,R1,gasboiler,2020,all-year,all-week,morning,0.30300000000
1,heat,2025,4,R1,heatpump,2020,all-year,all-week,morning,0.24240000000
1,heat,2030,0,R1,electric_stove,2020,all-year,all-week,morning,1.00000000000
1,heat,2030,1,R1,electric_stove,2025,all-year,all-week,morning,0.58330000000
1,heat,2030,2,R1,gas_stove,2020,all-year,all-week,morning,0.58330000000
1,heat,2030,4,R1,heatpump,2020,all-year,all-week,morning,0.33330000000
1,CO2f,2025,2,R1,gas_stove,2020,all-year,all-week,morning,68.34590000000
1,CO2f,2025,3,R1,gasboiler,2020,all-year,all-week,morning,19.60910000000
1,CO2f,2030,2,R1,gas_stove,2020,all-year,all-week,morning,78.39870000000
1,cook,2025,0,R1,electric_stove,2020,all-year,all-week,morning,1.53470000000
1,cook,2025,2,R1,gas_stove,2020,all-year,all-week,morning,0.63190000000
1,cook,2030,0,R1,electric_stove,2020,all-year,all-week,morning,1.07690000000
1,cook,2030,1,R1,electric_stove,2025,all-year,all-week,morning,0.62820000000
1,cook,2030,2,R1,gas_stove,2020,all-year,all-week,morning,0.62820000000
2,heat,2025,0,R1,electric_stove,2020,all-year,all-week,afternoon,0.68690000000
2,heat,2025,2,R1,gas_stove,2020,all-year,all-week,afternoon,0.28280000000
2,heat,2025,3,R1,gasboiler,2020,all-year,all-week,afternoon,0.20200000000
2,heat,2025,4,R1,heatpump,2020,all-year,all-week,afternoon,0.16160000000
2,heat,2030,0,R1,electric_stove,2020,all-year,all-week,afternoon,0.66670000000
