timeslice,commodity,year,asset,region,technology,installed,month,day,hour,supply
0,heat,2035,0,R1,electric_stove,2025,all-year,all-week,night,0.38890000000
0,heat,2035,1,R1,electric_stove,2030,all-year,all-week,night,1.10560000000
0,heat,2035,3,R1,gas_stove,2030,all-year,all-week,night,0.26110000000
0,heat,2035,4,R1,heatpump,2030,all-year,all-week,night,0.24440000000
0,heat,2040,1,R1,electric_stove,2030,all-year,all-week,night,1.10560000000
0,heat,2040,2,R1,electric_stove,2035,all-year,all-week,night,0.72220000000
0,heat,2040,3,R1,gas_stove,2030,all-year,all-week,night,0.26110000000
0,heat,2040,4,R1,heatpump,2030,all-year,all-week,night,0.24440000000
0,CO2f,2035,3,R1,gas_stove,2030,all-year,all-week,night,31.33340000000
0,CO2f,2040,3,R1,gas_stove,2030,all-year,all-week,night,30.37780000000
0,cook,2035,0,R1,electric_stove,2025,all-year,all-week,night,0.33230000000
0,cook,2035,1,R1,electric_stove,2030,all-year,all-week,night,0.94460000000
0,cook,2035,3,R1,gas_stove,2030,all-year,all-week,night,0.22310000000
0,cook,2040,1,R1,electric_stove,2030,all-year,all-week,night,0.88210000000
0,cook,2040,2,R1,electric_stove,2035,all-year,all-week,night,0.57620000000
0,cook,2040,3,R1,gas_stove,2030,all-year,all-week,night,0.20830000000
1,heat,2035,0,R1,electric_stove,2025,all-year,all-week,morning,0.58330000000
1,heat,2035,1,R1,electric_stove,2030,all-year,all-week,morning,1.65830000000
1,heat,2035,3,R1,gas_stove,2030,all-year,all-week,morning,0.39170000000
1,heat,2035,4,R1,heatpump,2030,all-year,all-week,morning,0.36670000000
1,heat,2040,1,R1,electric_stove,2030,all-year,all-week,morning,1.65830000000
1,heat,2040,2,R1,electric_stove,2035,all-year,all-week,morning,1.08330000000
1,heat,2040,3,R1,gas_stove,2030,all-year,all-week,morning,0.39170000000
1,heat,2040,4,R1,heatpump,2030,all-year,all-week,morning,0.36670000000
1,CO2f,2035,3,R1,gas_stove,2030,all-year,all-week,morning,49.40620000000
1,CO2f,2040,3,R1,gas_stove,2030,all-year,all-week,morning,46.91480000000
1,cook,2035,0,R1,electric_stove,2025,all-year,all-week,morning,0.55380000000
1,cook,2035,1,R1,electric_stove,2030,all-year,all-week,morning,1.57440000000
1,cook,2035,3,R1,gas_stove,2030,all-year,all-week,morning,0.37180000000
1,cook,2040,1,R1,electric_stove,2030,all-year,all-week,morning,1.41130000000
1,cook,2040,2,R1,electric_stove,2035,all-year,all-week,morning,0.92200000000
1,cook,2040,3,R1,gas_stove,2030,all-year,all-week,morning,0.33330000000
2,heat,2035,0,R1,electric_stove,2025,all-year,all-week,afternoon,0.38890000000
2,heat,2035,1,R1,electric_stove,2030,all-year,all-week,afternoon,1.10560000000
2,heat,2035,3,R1,gas_stove,2030,all-year,all-week,afternoon,0.26110000000
2,heat,2035,4,R1,heatpump,2030,all-year,all-week,afternoon,0.24440000000
2,heat,2040,1,R1,electric_stove,2030,all-year,all-week,afternoon,1.10560000000
2,heat,2040,2,R1,electric_stove,2035,all-year,all-week,afternoon,0.72220000000
2,heat,2040,3,R1,gas_stove,2030,all-year,all-week,afternoon,0.26110000000
2,heat,2040,4,R1,heatpump,2030,all-year,all-week,afternoon,0.24440000000
2,CO2f,2035,3,R1,gas_stove,2030,all-year,all-week,afternoon,31.33340000000
2,CO2f,2040,3,R1,gas_stove,2030,all-year,all-week,afternoon,30.37780000000
2,cook,2035,0,R1,electric_stove,2025,all-year,all-week,afternoon,0.33230000000
2,cook,2035,1,R1,electric_stove,2030,all-year,all-week,afternoon,0.94460000000
2,cook,2035,3,R1,gas_stove,2030,all-year,all-week,afternoon,0.22310000000
2,cook,2040,1,R1,electric_stove,2030,all-year,all-week,afternoon,0.88210000000
2,cook,2040,2,R1,electric_stove,2035,all-year,all-week,afternoon,0.57620000000
2,cook,2040,3,R1,gas_stove,2030,all-year,all-week,afternoon,0.20830000000
3,heat,2035,0,R1,electric_stove,2025,all-year,all-week,early-peak,0.58330000000
3,heat,2035,1,R1,electric_stove,2030,all-year,all-week,early-peak,1.65830000000
3,heat,2035,3,R1,gas_stove,2030,all-year,all-week,early-peak,0.39170000000
3,heat,2035,4,R1,heatpump,2030,all-year,all-week,early-peak,0.36670000000
3,heat,2040,1,R1,electric_stove,2030,all-year,all-week,early-peak,1.65830000000
3,heat,2040,2,R1,electric_stove,2035,all-year,all-week,early-peak,1.08330000000
3,heat,2040,3,R1,gas_stove,2030,all-year,all-week,early-peak,0.39170000000
3,heat,2040,4,R1,heatpump,2030,all-year,all-week,early-peak,0.36670000000
3,CO2f,2035,3,R1,gas_stove,2030,all-year,all-week,early-peak,44.59390000000
3,CO2f,2040,3,R1,gas_stove,2030,all-year,all-week,early-peak,42.87040000000
3,cook,2035,0,R1,electric_stove,2025,all-year,all-week,early-peak,0.44300000000
3,cook,2035,1,R1,electric_stove,2030,all-year,all-week,early-peak,1.25950000000
3,cook,2035,3,R1,gas_stove,2030,all-year,all-week,early-peak,0.29750000000
3,cook,2040,1,R1,electric_stove,2030,all-year,all-week,early-peak,1.14670000000
3,cook,2040,2,R1,electric_stove,2035,all-year,all-week,early-peak,0.74910000000
3,cook,2040,3,R1,gas_stove,2030,all-year,all-week,early-peak,0.27080000000
4,heat,2035,0,R1,electric_stove,2025,all-year,all-week,late-peak,1.16670000000
4,heat,2035,1,R1,electric_stove,2030,all-year,all-week,late-peak,3.31670000000
4,heat,2035,3,R1,gas_stove,2030,all-year,all-week,late-peak,0.78330000000
4,heat,2035,4,R1,heatpump,2030,all-year,all-week,late-peak,0.73330000000
4,heat,2040,1,R1,electric_stove,2030,all-year,all-week,late-peak,3.31670000000
4,heat,2040,2,R1,electric_stove,2035,all-year,all-week,late-peak,2.16670000000
4,heat,2040,3,R1,gas_stove,2030,all-year,all-week,late-peak,0.78330000000
4,heat,2040,4,R1,heatpump,2030,all-year,all-week,late-peak,0.73330000000
4,CO2f,2035,3,R1,gas_stove,2030,all-year,all-week,late-peak,74.75100000000
4,CO2f,2040,3,R1,gas_stove,2030,all-year,all-week,late-peak,72.25950000000
4,cook,2035,0,R1,electric_stove,2025,all-year,all-week,late-peak,0.55380000000
4,cook,2035,1,R1,electric_stove,2030,all-year,all-week,late-peak,1.57440000000
4,cook,2035,3,R1,gas_stove,2030,all-year,all-week,late-peak,0.37180000000
4,cook,2040,1,R1,electric_stove,2030,all-year,all-week,late-peak,1.41130000000
4,cook,2040,2,R1,electric_stove,2035,all-year,all-week,late-peak,0.92200000000
4,cook,2040,3,R1,gas_stove,2030,all-year,all-week,late-peak,0.33330000000
5,heat,2035,0,R1,electric_stove,2025,all-year,all-week,evening,0.77780000000
5,heat,2035,1,R1,electric_stove,2030,all-year,all-week,evening,2.21110000000
5,heat,2035,3,R1,gas_stove,2030,all-year,all-week,evening,0.52220000000
5,heat,2035,4,R1,heatpump,2030,all-year,all-week,evening,0.48890000000
5,heat,2040,1,R1,electric_stove,2030,all-year,all-week,evening,2.21110000000
5,heat,2040,2,R1,electric_stove,2035,all-year,all-week,evening,1.44440000000
5,heat,2040,3,R1,gas_stove,2030,all-year,all-week,evening,0.52220000000
5,heat,2040,4,R1,heatpump,2030,all-year,all-week,evening,0.48890000000
5,CO2f,2035,3,R1,gas_stove,2030,all-year,all-week,evening,67.47910000000
5,CO2f,2040,3,R1,gas_stove,2030,all-year,all-week,evening,63.45180000000
5,cook,2035,0,R1,electric_stove,2025,all-year,all-week,evening,0.77530000000
5,cook,2035,1,R1,electric_stove,2030,all-year,all-week,evening,2.20410000000
5,cook,2035,3,R1,gas_stove,2030,all-year,all-week,evening,0.52060000000
5,cook,2040,1,R1,electric_stove,2030,all-year,all-week,evening,1.94060000000
5,cook,2040,2,R1,electric_stove,2035,all-year,all-week,evening,1.26770000000
5,cook,2040,3,R1,gas_stove,2030,all-year,all-week,evening,0.45830000000
