comACHFC_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0
comACHFO_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0
comBoilerBiomass_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0
comBoilerCoal_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0
comBoilerElectric_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0
comBoilerKerosene_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0
comBoilerNG_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0
comHVAC_HFC_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0
comHVAC_HFO_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0
comHWaterBiomass_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0
comHWaterCoal_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0
comHWaterElec_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0
comHWaterLFO_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0
comHWaterNG_HC,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comASHeatPump,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comASHeatPump_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comASHeatPumpNG,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comBoilerBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comBoilerBiomass_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comBoilerCoal,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comBoilerCoal_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comBoilerElectriciy_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comBoilerKerosene,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comBoilerKerosene_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comBoilerNG,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comBoilerNG_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comCHPBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comCHPCoal,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comCHPNG,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comCookingBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comCookingCoal,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comCookingKerosene,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comCookingNG,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comDHBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0
res/comDHCoal,BajaCalif,PJ/y,0,0,0,0,0,0,0
