ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,AvailabiliyYear,Type,Fuel,EndUse,InterestRate,Agent1,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,,Retrofit,New
res/comBoilerCoal,Central,2020,fixed,11.02595945,1,1.095639504,1,0,1,3.36,0.040665835,130.8582883,15,0.95,0.000756864,0.6,1,boiler,coal,heat,0.1,0,0
res/comBoilerCoal_solarT,Central,2020,fixed,20.94932296,1,2.081715058,1,0,1,12,0.02,130.8582883,20,0.95,0.000774384,0.6,1,boiler,coal,heat,0.1,0,0
res/comBoilerElectric,Central,2020,fixed,3.80886809,1,0.380886809,1,0,1,1.115578134,0.065666525,130.8582883,15,0.95,0.000756864,0.95,1,boiler,elec,heat,0.1,0,0
res/comBoilerElectriciy_solarT,Central,2020,fixed,11.89087615,1,1.189087615,1,0,1,0.892462506,0.05253322,130.8582883,15,0.95,0.000774384,0.95,1,boiler,elec,heat,0.1,0,0
res/comBoilerKerosene,Central,2020,fixed,8.164157979,1,0.816415798,1,0,1,3.356974242,0.040665835,130.8582883,15,0.95,0.000756864,0.84,1,boiler,kerosene,heat,0.1,0,0
res/comBoilerKerosene_solarT,Central,2020,fixed,16.14763007,1,1.614763007,1,0,1,0.652812822,2.45416841,130.8582883,15,0.95,0.000774384,0.84,1,boiler,kerosene,heat,0.1,0,0
res/comBoilerNG,Central,2020,fixed,4.958037512,1,0.495803751,1,0,1,3.356974242,0.040665835,130.8582883,15,0.95,0.000756864,0.84,1,boiler,ng,heat,0.1,0,0
res/comBoilerNG_solarT,Central,2020,fixed,13.01404627,1,1.301404627,1,0,1,58.30966074,0.042177212,130.8582883,15,0.95,0.000774384,0.84,1,boiler,ng,heat,0.1,0,0
res/comCHPBiomass,Central,2020,fixed,29.4778833,1,1.324848687,1,0,1,5.970798768,0.45510538,130.8582883,25,0.845335431,0.000756864,0.8,0.35,chp,biomass,heat,0.1,0,0
res/comCHPCoal,Central,2020,fixed,31.54253359,1,1.253864689,1,0,1,30,0.04,130.8582883,25,0.845335431,0.000756864,0.7,0.35,chp,coal,heat,0.1,0,0
res/comCHPNG,Central,2020,fixed,23.3648397,1,0.928788659,1,0,1,23.97141915,0.134223314,130.8582883,25,0.845335431,0.000756864,0.8,0.35,chp,ng,heat,0.1,0,0
res/comCookingBiomass,Central,2020,fixed,2.275955536,1,0.170696665,1,0,1,865.64478,0.024019002,30507.34637,14,1,0.000063072,0.45,1,cook,biomass,cook,0.1,0,0
res/comCookingCoal,Central,2020,fixed,2.275955536,1,0.34139333,1,0,1,367.0742454,0.411439003,30507.34637,14,1,0.000063072,0.4,1,cook,coal,cook,0.1,0,0
res/comCookingElec,Central,2020,fixed,15.13255183,1,0.756627591,1,0,1,145.5624152,0.070054127,30507.34637,14,1,0.000063072,1.307298347,1,cook,elec,cook,0.1,0,0
res/comCookingKerosene,Central,2020,fixed,5.120899957,1,0.128022499,1,0,1,59.092692,0.291213864,30507.34637,14,1,0.000063072,0.95,1,cook,kerosene,cook,0.1,0,0
res/comCookingNG,Central,2020,fixed,16.15014208,1,0.807507104,1,0,1,335.7399126,0.055460648,30507.34637,14,1,0.000063072,0.957767695,1,cook,ng,cook,0.1,0,0
res/comDHBiomass,Central,2020,fixed,33.91529837,1,0.16544048,1,0,1,2.640738195,0.048907575,130.8582883,25,0.9,0.000756864,0.9,0.15,dh,biomass,heat,0.1,0,0
res/comDHCoal,Central,2020,fixed,33.91265132,1,0.827202399,1,0,1,623.8643415,0.04109458,130.8582883,30,0.9,0.000756864,0.8,0.15,dh,coal,heat,0.1,0,0
res/comDHHeatPump,Central,2020,fixed,8.106583512,1,0.055146827,1,0,1,1.366175823,0.356658335,130.8582883,25,0.9,0.000756864,0.9,0.15,dh,elec,heat,0.1,0,0
res/comDHNG,Central,2020,fixed,5.128654875,1,0.16544048,1,0,1,2.72778654,0.069164996,130.8582883,25,0.9,0.000756864,0.9,0.15,dh,ng,heat,0.1,0,0
res/comDHSolarWater,Central,2020,fixed,78.80481523,1,0.220587306,1,0,1,0,0.01,1101.969031,30,0.9,0.000756864,0.8,0.15,dh,solar,heat,0.1,0,0
res/comDHThermalStorage,Central,2020,fixed,1000000,1,0.005762546,1,0,1,0,0.01,130.8582883,30,0.9,0.000756864,0.99,0.15,dh,thermal,heat,0.1,0,0
res/comDHWasteHeatOfftake,Central,2020,fixed,1000000,1,54229.24901,1,0,1,0,0.01,130.8582883,50,0.9,0.000756864,1,0.15,dh,wateheat,heat,0.1,0,0
res/comElectricNightStorage,Central,2020,fixed,0.00173911,1,0.00173911,1,0,1,15,0.02,130.8582883,15,0.95,0.000491962,1,1,nightst,elec,heat,0.1,0,0
res/comASHeatPump,Central,2020,fixed,53.86775792,1,2.693387896,1,0,1,1031.622923,0.757759912,130.8582883,20,0.95,0.000283824,2.51,1,heatp,elec,heat,0.1,0,0
