timeslice,commodity,asset,year,units_prices,comm_usage,technology,installed,month,day,hour,supply
2,cars,40,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,afternoon,28.44440000000
2,cars,41,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,afternoon,30.22220000000
3,cars,2,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,early-peak,8.88890000000
3,cars,2,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,early-peak,9.44440000000
3,cars,3,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,early-peak,1.55560000000
3,cars,4,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,early-peak,1.65280000000
3,cars,5,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,early-peak,27.77780000000
3,cars,6,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,early-peak,29.51390000000
3,cars,9,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,early-peak,55.11110000000
3,cars,9,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,early-peak,58.55560000000
3,cars,10,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,early-peak,14.44440000000
3,cars,11,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,early-peak,15.34720000000
3,cars,14,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,early-peak,67.11110000000
3,cars,14,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,early-peak,71.30560000000
3,cars,15,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,early-peak,17.11110000000
3,cars,16,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,early-peak,18.18060000000
3,cars,18,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,early-peak,2.66670000000
3,cars,18,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,early-peak,2.83330000000
3,cars,19,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,early-peak,28.44440000000
3,cars,20,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,early-peak,30.22220000000
3,cars,23,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,early-peak,8.88890000000
3,cars,23,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,early-peak,9.44440000000
3,cars,24,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,early-peak,1.55560000000
3,cars,25,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,early-peak,1.65280000000
3,cars,26,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,early-peak,27.77780000000
3,cars,27,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,early-peak,29.51390000000
3,cars,30,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,early-peak,55.11110000000
3,cars,30,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,early-peak,58.55560000000
3,cars,31,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,early-peak,14.44440000000
3,cars,32,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,early-peak,15.34720000000
3,cars,35,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,early-peak,67.11110000000
3,cars,35,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,early-peak,71.30560000000
3,cars,36,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,early-peak,17.11110000000
3,cars,37,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,early-peak,18.18060000000
3,cars,39,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,early-peak,2.66670000000
3,cars,39,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,early-peak,2.83330000000
3,cars,40,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,early-peak,28.44440000000
3,cars,41,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,early-peak,30.22220000000
4,cars,2,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,late-peak,8.88890000000
4,cars,2,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,late-peak,9.44440000000
4,cars,3,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,late-peak,1.55560000000
4,cars,4,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,late-peak,1.65280000000
4,cars,5,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,late-peak,27.77780000000
4,cars,6,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,late-peak,29.51390000000
4,cars,9,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,late-peak,55.11110000000
4,cars,9,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,late-peak,58.55560000000
4,cars,10,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,late-peak,14.44440000000
4,cars,11,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,late-peak,15.34720000000
4,cars,14,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,late-peak,67.11110000000
4,cars,14,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,late-peak,71.30560000000
4,cars,15,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,late-peak,17.11110000000
4,cars,16,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,late-peak,18.18060000000
4,cars,18,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,late-peak,2.66670000000
4,cars,18,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,late-peak,2.83330000000
4,cars,19,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,late-peak,28.44440000000
4,cars,20,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,late-peak,30.22220000000
4,cars,23,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,late-peak,8.88890000000
4,cars,23,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,late-peak,9.44440000000
4,cars,24,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,late-peak,1.55560000000
4,cars,25,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,late-peak,1.65280000000
4,cars,26,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,late-peak,27.77780000000
4,cars,27,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,late-peak,29.51390000000
4,cars,30,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,late-peak,55.11110000000
4,cars,30,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,late-peak,58.55560000000
4,cars,31,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,late-peak,14.44440000000
4,cars,32,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,late-peak,15.34720000000
4,cars,35,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,late-peak,67.11110000000
4,cars,35,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,late-peak,71.30560000000
4,cars,36,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,late-peak,17.11110000000
4,cars,37,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,late-peak,18.18060000000
4,cars,39,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,late-peak,2.66670000000
4,cars,39,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,late-peak,2.83330000000
4,cars,40,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,late-peak,28.44440000000
4,cars,41,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,late-peak,30.22220000000
5,cars,2,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,evening,8.88890000000
5,cars,2,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,evening,9.44440000000
5,cars,3,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,evening,1.55560000000
5,cars,4,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,evening,1.65280000000
5,cars,5,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,evening,27.77780000000
5,cars,6,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,evening,29.51390000000
5,cars,9,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,evening,55.11110000000
