ProcessName,RegionName,Time,Level,electricity,hfo,gas,geo,heat,CO2f,wind,cook,biomass,water,uranium,solar,coal,diesel,hydrogen,e_demand
Unit,-,Year,-,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
BIO,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO_CCS,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FB,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL_CCS,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_GAS,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_GAS,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS_CC_CCS,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_OIL,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_OIL,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOTH,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_LS,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_SS,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ON_WIND,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF_WIND,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_GND,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_SSG,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSP,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC_H2,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_H2,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUCL,Central,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO_CCS,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FB,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL_CCS,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_GAS,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_GAS,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS_CC_CCS,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_OIL,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_OIL,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOTH,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_LS,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_SS,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ON_WIND,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF_WIND,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_GND,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_SSG,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSP,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC_H2,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_H2,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUCL,Eastern,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO_CCS,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FB,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL_CCS,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_GAS,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_GAS,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS_CC_CCS,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_OIL,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_OIL,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOTH,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_LS,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_SS,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ON_WIND,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFF_WIND,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_GND,Western,2020,fixed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
