asset,year,technology,region,installed,capacity
0,2020,gassupply1,Eastern,2020,1000.00000000000
0,2025,gassupply1,Eastern,2020,2233.73030000000
0,2030,gassupply1,Eastern,2020,2233.73030000000
0,2035,gassupply1,Eastern,2020,2233.73030000000
0,2040,gassupply1,Eastern,2020,2233.73030000000
0,2045,gassupply1,Eastern,2020,2233.73030000000
0,2050,gassupply1,Eastern,2020,2233.73030000000
0,2059,gassupply1,Eastern,2020,1733.73030000000
1,2020,gassupply1,Western,2020,1000.00000000000
1,2025,gassupply1,Western,2020,2233.73030000000
1,2030,gassupply1,Western,2020,2233.73030000000
1,2035,gassupply1,Western,2020,2233.73030000000
1,2040,gassupply1,Western,2020,2233.73030000000
1,2045,gassupply1,Western,2020,2233.73030000000
1,2050,gassupply1,Western,2020,2233.73030000000
1,2059,gassupply1,Western,2020,1733.73030000000
