dst_region,asset,year,region,technology,installed,capacity
Central,15,2020,Central,BIO,2020,2.35260000000
Central,15,2025,Central,BIO,2020,2.35260000000
Central,15,2030,Central,BIO,2020,2.29140000000
Central,15,2035,Central,BIO,2020,2.29140000000
Central,15,2040,Central,BIO,2020,2.12300000000
Central,16,2020,Central,CC_GAS,2020,158.34980000000
Central,16,2025,Central,CC_GAS,2020,211.96100000000
Central,16,2030,Central,CC_GAS,2020,77.11810000000
Central,16,2035,Central,CC_GAS,2020,77.11810000000
Central,16,2040,Central,CC_GAS,2020,77.11810000000
Central,16,2045,Central,CC_GAS,2020,77.11810000000
Central,16,2049,Central,CC_GAS,2020,44.01740000000
Central,16,2050,Central,CC_GAS,2020,35.74230000000
Central,16,2059,Central,CC_GAS,2020,12.76510000000
Central,16,2060,Central,CC_GAS,2020,10.21210000000
Central,19,2020,Central,HYD_LS,2020,23.11150000000
Central,19,2025,Central,HYD_LS,2020,23.25020000000
Central,19,2030,Central,HYD_LS,2020,18.85220000000
Central,19,2035,Central,HYD_LS,2020,18.85220000000
Central,19,2040,Central,HYD_LS,2020,18.85220000000
Central,19,2045,Central,HYD_LS,2020,18.85220000000
Central,19,2049,Central,HYD_LS,2020,4.11860000000
Central,19,2050,Central,HYD_LS,2020,0.43520000000
Central,19,2059,Central,HYD_LS,2020,0.15540000000
Central,19,2060,Central,HYD_LS,2020,0.12430000000
Central,20,2020,Central,OC_GAS,2020,184.84130000000
Central,20,2025,Central,OC_GAS,2020,185.19770000000
Central,20,2030,Central,OC_GAS,2020,71.13070000000
Central,20,2035,Central,OC_GAS,2020,23.39400000000
Central,20,2040,Central,OC_GAS,2020,17.68980000000
Central,20,2045,Central,OC_GAS,2020,0.06940000000
Central,20,2049,Central,OC_GAS,2020,0.01390000000
Central,21,2020,Central,OC_OIL,2020,6.30720000000
Central,21,2025,Central,OC_OIL,2020,6.30720000000
Central,21,2030,Central,OC_OIL,2020,4.60430000000
Central,21,2035,Central,OC_OIL,2020,0.54180000000
Central,21,2040,Central,OC_OIL,2020,0.37840000000
Central,22,2020,Central,ON_WIND,2020,0.41690000000
Central,22,2025,Central,ON_WIND,2020,0.41690000000
Central,22,2030,Central,ON_WIND,2020,0.41690000000
Central,22,2035,Central,ON_WIND,2020,0.41690000000
Central,23,2020,Central,PV_GND,2020,1.34600000000
Central,23,2025,Central,PV_GND,2020,8.77580000000
Central,23,2030,Central,PV_GND,2020,1.34600000000
Central,23,2035,Central,PV_GND,2020,1.34600000000
Central,23,2040,Central,PV_GND,2020,1.34600000000
Central,24,2020,Central,PV_SSG,2020,11.25860000000
Central,24,2025,Central,PV_SSG,2020,15.16090000000
Central,24,2030,Central,PV_SSG,2020,15.16090000000
Central,24,2035,Central,PV_SSG,2020,15.16090000000
Central,24,2040,Central,PV_SSG,2020,15.16090000000
Central,24,2045,Central,PV_SSG,2020,3.90230000000
Central,24,2049,Central,PV_SSG,2020,0.78050000000
Eastern,25,2020,Eastern,BIO,2020,20.62830000000
Eastern,25,2025,Eastern,BIO,2020,21.57440000000
Eastern,25,2030,Eastern,BIO,2020,15.98880000000
Eastern,25,2035,Eastern,BIO,2020,15.18460000000
Eastern,25,2040,Eastern,BIO,2020,11.33910000000
Eastern,26,2020,Eastern,CC_GAS,2020,336.76350000000
Eastern,26,2025,Eastern,CC_GAS,2020,336.76350000000
Eastern,26,2030,Eastern,CC_GAS,2020,221.94090000000
Eastern,26,2035,Eastern,CC_GAS,2020,97.26770000000
Eastern,26,2040,Eastern,CC_GAS,2020,57.91080000000
Eastern,26,2045,Eastern,CC_GAS,2020,50.46830000000
Eastern,26,2049,Eastern,CC_GAS,2020,10.09370000000
Eastern,27,2020,Eastern,CC_OIL,2020,1.52630000000
Eastern,27,2025,Eastern,CC_OIL,2020,1.52630000000
Eastern,28,2020,Eastern,COAL,2020,175.23670000000
Eastern,28,2025,Eastern,COAL,2020,175.23670000000
Eastern,28,2030,Eastern,COAL,2020,175.23670000000
Eastern,29,2020,Eastern,GEOTH,2020,6.81180000000
Eastern,29,2025,Eastern,GEOTH,2020,6.81180000000
Eastern,30,2020,Eastern,HYD_LS,2020,407.91690000000
Eastern,30,2025,Eastern,HYD_LS,2020,407.91690000000
Eastern,30,2030,Eastern,HYD_LS,2020,233.85840000000
Eastern,30,2035,Eastern,HYD_LS,2020,82.48560000000
Eastern,30,2040,Eastern,HYD_LS,2020,18.15210000000
Eastern,30,2045,Eastern,HYD_LS,2020,17.45640000000
Eastern,30,2049,Eastern,HYD_LS,2020,17.39290000000
Eastern,30,2050,Eastern,HYD_LS,2020,17.37700000000
Eastern,30,2059,Eastern,HYD_LS,2020,11.79150000000
Eastern,30,2060,Eastern,HYD_LS,2020,11.17090000000
Eastern,30,2064,Eastern,HYD_LS,2020,8.68850000000
Eastern,30,2065,Eastern,HYD_LS,2020,8.68850000000
Eastern,30,2084,Eastern,HYD_LS,2020,8.68850000000
Eastern,30,2085,Eastern,HYD_LS,2020,8.68850000000
Eastern,31,2020,Eastern,NUCL,2020,103.05960000000
Eastern,31,2025,Eastern,NUCL,2020,103.05960000000
Eastern,31,2030,Eastern,NUCL,2020,103.05960000000
Eastern,31,2035,Eastern,NUCL,2020,103.05960000000
Eastern,31,2040,Eastern,NUCL,2020,103.05960000000
Eastern,31,2045,Eastern,NUCL,2020,103.05960000000
Eastern,31,2049,Eastern,NUCL,2020,103.05960000000
Eastern,31,2050,Eastern,NUCL,2020,103.05960000000
Eastern,31,2059,Eastern,NUCL,2020,69.93330000000
