asset,year,region,technology,installed,capacity
0,2045,R1,electric_stove,2035,13.00000000000
0,2049,R1,electric_stove,2035,13.00000000000
1,2045,R1,electric_stove,2040,29.19000000000
1,2049,R1,electric_stove,2040,29.19000000000
1,2050,R1,electric_stove,2040,29.19000000000
1,2054,R1,electric_stove,2040,29.19000000000
2,2050,R1,electric_stove,2045,19.00000000000
2,2054,R1,electric_stove,2045,19.00000000000
2,2055,R1,electric_stove,2045,19.00000000000
2,2059,R1,electric_stove,2045,19.00000000000
3,2045,R1,gas_stove,2040,0.97000000000
3,2049,R1,gas_stove,2040,0.97000000000
3,2050,R1,gas_stove,2040,0.97000000000
3,2054,R1,gas_stove,2040,0.97000000000
4,2045,R1,heatpump,2040,4.84000000000
4,2049,R1,heatpump,2040,4.84000000000
4,2050,R1,heatpump,2040,4.84000000000
4,2054,R1,heatpump,2040,4.84000000000
