asset,year,region,technology,installed,capacity
0,2030,R1,electric_stove,2020,12.00000000000
0,2034,R1,electric_stove,2020,12.00000000000
1,2030,R1,electric_stove,2025,7.00000000000
1,2034,R1,electric_stove,2025,7.00000000000
1,2035,R1,electric_stove,2025,7.00000000000
1,2039,R1,electric_stove,2025,7.00000000000
2,2035,R1,electric_stove,2030,19.90000000000
2,2039,R1,electric_stove,2030,19.90000000000
2,2040,R1,electric_stove,2030,19.90000000000
2,2044,R1,electric_stove,2030,19.90000000000
3,2030,R1,gas_stove,2020,7.00000000000
3,2034,R1,gas_stove,2020,7.00000000000
4,2035,R1,gas_stove,2030,4.70000000000
4,2039,R1,gas_stove,2030,4.70000000000
4,2040,R1,gas_stove,2030,4.70000000000
4,2044,R1,gas_stove,2030,4.70000000000
5,2030,R1,heatpump,2020,4.00000000000
5,2034,R1,heatpump,2020,4.00000000000
6,2035,R1,heatpump,2030,4.40000000000
6,2039,R1,heatpump,2030,4.40000000000
6,2040,R1,heatpump,2030,4.40000000000
6,2044,R1,heatpump,2030,4.40000000000
